callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
SAS68L,4acb59,N,9,60.26527404785156,18.38959792564655,4084.32,156.32496431843498,184.34086006469124,-8.45312,10.675840976814753,1778072701.9816535
SWE34A,4acac3,N,9,60.26564258640095,18.389641898018972,3886.2000000000003,146.86182389135917,185.8304168307375,-6.502400000000001,10.690653823570386,1778073224.6587074
SAS30P,47ba78,N,9,60.26490783691406,18.375391466864222,4015.7400000000002,163.5551704935661,202.37033252348155,-9.7536,10.962511126418551,1778071376.211833
SWR9PX,4b1817,N,9,59.7967529296875,18.150604248046875,830.58,117.50175747364796,338.152008589348,-2.27584,25.269866895434287,1778070600.0
NSZ2614,4aca88,E,66,59.71394348144531,19.1282958984375,4389.12,187.77981173588415,295.3013786254197,-17.231360000000002,5.880948387657021,1778074134.666252
GFM5E,4ac925,E,66,59.48356499106197,19.127860233701508,3977.6400000000003,160.16071952575263,240.1409838350769,-2.60096,7.951638864459981,1778070738.7148294
RYR82,4ca6a9,E,66,59.783407954846396,19.128144362877155,3825.2400000000002,173.2240738005801,275.7952499605175,-14.305280000000002,10.051440916024672,1778071582.5675433
RYR305X,4d2220,E,66,59.65150451660156,18.10784912109375,2103.12,137.44515022494178,7.311213676989076,-9.7536,30.979059494555596,1778070600.0
SAS58M,4a91f9,S,160,58.80450749801377,18.230621337890625,7086.6,239.7662280241359,359.0164780808609,-15.93088,12.57674336373416,1778073535.0
SAS41W,4cad91,S,160,58.80464715472722,18.247283935546875,6499.860000000001,227.49828165029325,358.18580809097006,-12.029440000000001,12.993934373087926,1778072817.0
VKG653,45d962,S,160,58.80427551269531,18.257859753024196,5638.8,175.0024768288925,358.1469593691735,-7.80288,13.24632087061828,1778072118.0
RYR8PE,48c127,S,160,58.80482482910156,18.260340536794356,6393.18,195.66192966516817,357.58897025338877,-13.329920000000001,13.328233562319362,1778070870.0
PGT353Z,4bb879,S,160,58.80491638183594,18.260340536794356,5295.900000000001,189.96641427130626,357.8272185401185,-9.7536,13.331434989590491,1778073127.0
SAS987P,4ac9fa,S,160,58.80482482910156,17.291328676285282,7284.72,251.88903501679818,39.28117352737768,-13.980160000000001,20.882069896339353,1778070758.0
FRO678,459a63,S,160,58.80546569824219,17.11847120715726,4983.4800000000005,177.97383309215158,18.53969418980123,-13.655040000000001,25.968154158154746,1778073041.0
GFM6Y,4ac999,S,160,58.80455405025159,16.980194091796875,4701.54,190.23579873034726,23.931025068068777,-9.42848,30.09007556806155,1778072008.0
BAW772,400a5b,W,45,59.67857231528072,16.70007113752694,4008.1200000000003,179.33742151528887,45.11621846031256,-9.7536,2.5173669043281284,1778072541.1050637
SAS51D,4cad89,W,45,59.845916748046875,16.700042724609375,3886.2000000000003,185.4490347874425,97.97275851407167,-8.128,7.530082900109401,1778072326.0878167
SAS898,4cacb0,W,45,59.852398371292374,16.698650491648706,4053.84,196.9453968138686,100.84030545433058,-7.80288,7.919395329655493,1778071863.3958287
SAS496,4cafcc,W,45,59.83978271484375,16.84808349609375,3749.04,171.02845329142284,102.15494169722223,-8.128,8.440132107532076,1778070600.0
SAS97N,4cad86,W,45,59.480987548828125,16.69793701171875,3596.6400000000003,176.71806611288258,59.179268082266496,-10.07872,14.380616262638023,1778073271.8900046
DLH804,3c6751,W,45,59.41099548339844,16.697113037109375,4754.88,198.78118822753444,53.10044615622823,-8.45312,18.583045440546055,1778073866.809538
