callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
THY4CK,,B738W26,46.63,183.43,136.8,74.6,274,13.6
SAS58E,A20N,A320-271N,60.15,263.24,203.09,77.2,486,30.1
FIN3EJ,,B738W26,108.52,472.67,364.15,77.0,661,49.2
BAW770,,B738W26,93.17,564.62,471.45,83.5,605,60.0
NSZ8KC,,B738W26,114.82,627.59,512.77,81.7,759,76.0
SAS864,,B738W26,108.95,535.73,426.78,79.7,683,60.0
SAS80A,,B738W26,108.51,608.48,499.97,82.2,705,69.6
SAS45H,AT76,ATR72-600,0.0,0.0,0.0,0.0,703,58.7
