callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS1430,B738,B738W26,75.82,689.29,613.47,89.0,511,49.4
SAS1498,B738,B738W26,77.86,378.36,300.5,79.4,533,53.1
ASL82Y,BCS3,A319-131,38.24,93.55,55.31,59.1,211,11.7
SAS886,A20N,A320-271N,18.0,50.94,32.94,64.7,186,28.4
RYR305X,B738,B738W26,81.12,474.09,392.96,82.9,564,56.9
SAS1749,AT76,ATR72-600,27.18,0.0,-27.18,0.0,1157,126.8
RYR63XT,B38M,B738W26,70.38,274.61,204.23,74.4,455,41.2
ETH715,B788,B788RR70,94.72,248.07,153.35,61.8,465,44.6
SAS084,B738,B738W26,29.92,1014.04,984.12,97.0,176,9.9
FIN5LA,A320,A320-232,70.0,457.37,387.37,84.7,506,46.6
NSZ46M,B738,B738W26,73.48,119.73,46.25,38.6,484,46.0
TAY8LL,B734,B73423,71.84,518.71,446.87,86.1,436,37.9
SAS92D,A20N,A320-271N,61.31,378.01,316.7,83.8,563,57.3
NSZ16Z,B38M,B738W26,75.59,223.97,148.38,66.2,507,49.7
SAS071,B738,B738W26,78.39,250.12,171.73,68.7,536,55.0
RYR9SH,B738,B738W26,76.92,597.71,520.79,87.1,518,49.9
SAS63A,A20N,A320-271N,57.47,405.59,348.12,85.8,517,51.5
NSZ3210,B738,B738W26,78.01,569.27,491.26,86.3,534,52.0
KLM1225,A21N,A321-131,23.7,61.91,38.21,61.7,125,7.9
NSZ4114,B38M,B738W26,55.44,144.73,89.29,61.7,402,46.5
SAS1128,AT76,ATR72-600,0.0,0.0,0.0,0.0,690,82.5
RYR18AA,B38M,B738W26,83.72,329.13,245.41,74.6,598,62.4
SAS126,B738,B738W26,78.75,260.76,182.0,69.8,539,52.5
