icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms
39de49,TVF73RQ,,,1776890400,59.6072,17.9026,205.74,9.32,0,66.73,-2.93
39de49,TVF73RQ,,,1776890460,59.6425,17.9152,0.0,9.83,0,66.31,-0.33
4cad94,SAS86L,,,1776890400,59.4951,17.8619,914.4,10.57,0,78.5,-4.23
4cad94,SAS86L,,,1776890460,59.5358,17.8767,662.94,10.41,0,76.89,-4.23
4cad94,SAS86L,,,1776890520,59.5745,17.8907,411.48,10.39,0,62.76,-1.63
4cad94,SAS86L,,,1776890580,59.6038,17.9012,228.6,9.91,0,53.79,-2.6
4cad94,SAS86L,,,1776890640,59.6337,17.9119,53.34,9.95,0,59.54,-2.93
4ac9e4,SAS62F,,,1776890400,59.7236,18.2573,2225.04,185.73,0,170.1,-6.5
4ac9e4,SAS62F,,,1776890460,59.6416,18.212,1767.84,212.17,0,150.72,-8.45
4ac9e4,SAS62F,,,1776890520,59.5746,18.1261,1188.72,212.32,0,149.14,-4.88
4ac9e4,SAS62F,,,1776890580,59.5101,18.0477,1028.7,211.15,0,135.25,-1.3
4ac9e4,SAS62F,,,1776890640,59.4563,17.9608,914.4,251.87,0,120.71,-1.95
4ac9e4,SAS62F,,,1776890700,59.4707,17.8662,845.82,338.44,0,92.38,-0.65
4ac9e4,SAS62F,,,1776890760,59.5165,17.8697,754.38,10.01,0,79.93,-1.3
4ac9e4,SAS62F,,,1776890820,59.5567,17.8843,525.78,10.27,0,72.15,-4.55
4ac9e4,SAS62F,,,1776890880,59.5902,17.8963,320.04,10.45,0,53.88,-2.93
4ac9e4,SAS62F,,,1776890940,59.6196,17.9069,144.78,9.55,0,55.82,-3.25
4aca86,NSZ4528,,,1776890580,58.5152,17.058,8023.86,29.74,0,182.49,-11.38
4aca86,NSZ4528,,,1776890640,58.5992,17.1498,7360.92,29.6,0,178.09,-11.38
4aca86,NSZ4528,,,1776890700,58.6816,17.24,6675.12,29.83,0,173.75,-11.38
4aca86,NSZ4528,,,1776890760,58.7621,17.3285,5989.32,29.81,0,170.75,-11.05
4aca86,NSZ4528,,,1776890820,58.841,17.4162,5326.38,29.77,0,168.9,-11.38
4aca86,NSZ4528,,,1776890880,58.9184,17.5026,4701.54,29.88,0,163.16,-15.93
4aca86,NSZ4528,,,1776890940,58.9949,17.5883,3977.64,30.15,0,161.82,-11.38
4aca86,NSZ4528,,,1776891000,59.0699,17.6722,3246.12,29.31,0,158.7,-10.08
4aca86,NSZ4528,,,1776891060,59.1455,17.7371,2636.52,14.04,0,150.6,-7.15
4aca86,NSZ4528,,,1776891120,59.2202,17.7643,2324.1,9.53,0,133.54,-5.2
4aca86,NSZ4528,,,1776891180,59.2873,17.7881,1935.48,9.85,0,126.36,-8.13
4aca86,NSZ4528,,,1776891240,59.3522,17.8111,1615.44,10.48,0,118.76,-6.5
4aca86,NSZ4528,,,1776891300,59.4132,17.8326,1280.16,9.59,0,111.13,-5.2
4aca86,NSZ4528,,,1776891360,59.466,17.8516,1097.28,10.33,0,88.9,-6.18
4aca86,NSZ4528,,,1776891420,59.5089,17.8671,830.58,10.57,0,78.5,-4.88
4aca86,NSZ4528,,,1776891480,59.5493,17.8816,571.5,10.3,0,69.02,-3.58
4aca86,NSZ4528,,,1776891540,59.5853,17.8945,342.9,10.62,0,67.0,-4.23
4aca86,NSZ4528,,,1776891600,59.6212,17.9074,121.92,10.3,0,69.02,-3.58
4cac8a,SAS173,,,1776891120,59.6598,17.9472,22.86,76.37,0,52.41,0.65
4cac8a,SAS173,,,1776891180,59.6703,18.0294,830.58,73.66,0,93.28,16.91
4cac8a,SAS173,,,1776891240,59.7037,18.0891,1653.54,349.67,0,100.4,24.06
4cac8a,SAS173,,,1776891300,59.7174,17.986,3002.28,262.41,0,132.34,14.96
4cac8a,SAS173,,,1776891360,59.7109,17.8248,4122.42,264.92,0,162.69,25.68
4cac8a,SAS173,,,1776891420,59.7027,17.6461,5440.68,264.88,0,173.03,22.43
4cac8a,SAS173,,,1776891480,59.694,17.4574,6598.92,264.72,0,184.44,19.51
4cac8a,SAS173,,,1776891540,59.6648,17.2553,7551.42,248.2,0,207.78,16.91
4cac8a,SAS173,,,1776891600,59.6222,17.0442,8435.34,248.17,0,217.23,12.68
4868f7,KLM23A,,,1776890820,59.39,17.1322,3017.52,81.59,0,151.33,-6.18
4868f7,KLM23A,,,1776890880,59.4016,17.2903,2560.32,82.06,0,152.71,-8.13
4868f7,KLM23A,,,1776890940,59.4126,17.4476,2171.7,82.13,0,142.82,-7.8
4868f7,KLM23A,,,1776891000,59.4334,17.5872,1729.74,71.5,0,136.16,-7.8
4868f7,KLM23A,,,1776891060,59.4549,17.7234,1310.64,73.13,0,131.17,-3.58
4868f7,KLM23A,,,1776891120,59.4827,17.8338,1104.9,41.4,0,104.24,-4.88
4868f7,KLM23A,,,1776891180,59.5272,17.8735,769.62,10.82,0,82.23,-9.75
4868f7,KLM23A,,,1776891240,59.5652,17.8873,472.44,10.06,0,64.79,-3.9
4868f7,KLM23A,,,1776891300,59.6004,17.9,251.46,10.54,0,67.5,-3.9
4868f7,KLM23A,,,1776891360,59.6369,17.9131,30.48,10.15,0,70.03,-3.9
4d2262,RYR4623,,,1776891180,59.6285,20.3926,8321.04,273.07,0,201.44,-11.7
4d2262,RYR4623,,,1776891240,59.6343,20.1846,7658.1,273.24,0,191.16,-11.05
4d2262,RYR4623,,,1776891300,59.6396,19.9861,7018.02,272.73,0,183.86,-10.73
4d2262,RYR4623,,,1776891360,59.644,19.7944,6385.56,272.84,0,176.67,-10.4
4d2262,RYR4623,,,1776891420,59.6409,19.6042,5692.14,261.73,0,182.47,-11.05
4d2262,RYR4623,,,1776891480,59.627,19.4144,5067.3,261.57,0,178.9,-10.08
4d2262,RYR4623,,,1776891540,59.6132,19.2283,4465.32,261.89,0,175.12,-9.75
4d2262,RYR4623,,,1776891600,59.5992,19.047,3870.96,261.19,0,171.27,-10.08
4d2262,RYR4623,,,1776891660,59.5857,18.8697,3284.22,261.12,0,166.62,-9.75
4d2262,RYR4623,,,1776891720,59.5672,18.7029,2910.84,253.98,0,154.68,-5.2
4d2262,RYR4623,,,1776891780,59.5452,18.5513,2529.84,254.58,0,145.15,-6.18
4d2262,RYR4623,,,1776891840,59.5245,18.4061,2125.98,254.82,0,137.53,-4.55
4d2262,RYR4623,,,1776891900,59.5057,18.276,1927.86,253.62,0,122.25,-5.2
4d2262,RYR4623,,,1776891960,59.4881,18.1536,1592.58,254.7,0,118.94,-3.58
4d2262,RYR4623,,,1776892020,59.4716,18.0378,1402.08,253.84,0,110.87,-3.58
4d2262,RYR4623,,,1776892080,59.4549,17.9238,1226.82,257.3,0,112.32,-3.25
4d2262,RYR4623,,,1776892140,59.4809,17.8616,1059.18,356.84,0,74.71,-3.25
4d2262,RYR4623,,,1776892200,59.5204,17.8713,739.14,12.04,0,71.54,-4.23
4aca89,NSZ60X,,,1776891180,59.3913,17.0173,3169.92,83.16,0,164.25,-3.9
4aca89,NSZ60X,,,1776891240,59.4012,17.1772,2819.4,83.53,0,150.66,-9.1
4aca89,NSZ60X,,,1776891300,59.4105,17.3366,2346.96,83.62,0,148.05,-1.95
4aca89,NSZ60X,,,1776891360,59.4195,17.4859,1935.48,83.31,0,141.4,-4.55
4aca89,NSZ60X,,,1776891420,59.4301,17.6306,1539.24,77.85,0,136.82,-5.85
4aca89,NSZ60X,,,1776891480,59.4441,17.7612,1386.84,77.89,0,115.23,-2.28
4aca89,NSZ60X,,,1776891540,59.4775,17.8411,1013.46,43.18,0,91.72,-10.08
4aca89,NSZ60X,,,1776891600,59.5184,17.8706,754.38,10.44,0,79.51,-3.9
4aca89,NSZ60X,,,1776891660,59.5589,17.885,510.54,9.81,0,69.44,-3.9
4aca89,NSZ60X,,,1776891720,59.5928,17.8972,297.18,10.22,0,63.77,-3.58
4aca89,NSZ60X,,,1776891780,59.6275,17.9097,83.82,10.03,0,67.92,-4.55
3c64ae,DLH1TV,,,1776891240,58.743,20.3076,11277.6,45.62,0,202.27,0.33
3c64ae,DLH1TV,,,1776891300,58.8191,20.458,11277.6,45.82,0,203.73,0.33
39e693,AFR1462,,,1776891480,59.3409,17.0898,3093.72,75.15,0,148.49,-5.53
39e693,AFR1462,,,1776891540,59.3606,17.2365,2552.7,75.31,0,152.11,-8.78
39e693,AFR1462,,,1776891600,59.3838,17.3849,2133.6,71.57,0,136.65,-8.78
39e693,AFR1462,,,1776891660,59.4073,17.5183,1668.78,71.34,0,123.8,-5.2
39e693,AFR1462,,,1776891720,59.4255,17.6327,1363.98,73.94,0,102.25,-5.2
39e693,AFR1462,,,1776891780,59.4398,17.7245,1028.7,66.53,0,85.25,-6.5
39e693,AFR1462,,,1776891840,59.4627,17.7993,746.76,43.95,0,79.31,0.0
39e693,AFR1462,,,1776891900,59.4941,17.8554,746.76,31.56,0,76.67,0.0
39e693,AFR1462,,,1776891960,59.5324,17.876,701.04,10.42,0,71.14,-4.23
39e693,AFR1462,,,1776892020,59.5672,17.8879,464.82,10.39,0,62.76,-3.58
39e693,AFR1462,,,1776892080,59.5998,17.8997,259.08,10.92,0,59.73,-3.25
39e693,AFR1462,,,1776892140,59.6332,17.9118,53.34,10.34,0,65.89,-3.58
4acaa3,SAS1804,,,1776891600,59.3022,17.0581,3657.6,70.52,0,151.16,-7.8
4acaa3,SAS1804,,,1776891660,59.3284,17.207,3246.12,71.57,0,143.16,-3.9
4acaa3,SAS1804,,,1776891720,59.3549,17.3485,2659.38,68.72,0,147.41,-11.38
4acaa3,SAS1804,,,1776891780,59.3823,17.4919,2346.96,69.9,0,134.76,-2.6
4acaa3,SAS1804,,,1776891840,59.4057,17.6182,2011.68,69.61,0,124.04,-5.2
4acaa3,SAS1804,,,1776891900,59.4273,17.735,1706.88,70.33,0,113.09,-6.83
4acaa3,SAS1804,,,1776891960,59.4628,17.8181,1310.64,45.86,0,96.77,-7.48
4acaa3,SAS1804,,,1776892020,59.5009,17.8639,883.92,11.15,0,71.83,-4.55
4acaa3,SAS1804,,,1776892080,59.5337,17.8759,678.18,10.35,0,60.14,-3.25
4acaa3,SAS1804,,,1776892140,59.5656,17.8874,472.44,10.18,0,61.15,-3.9
4acaa3,SAS1804,,,1776892200,59.5966,17.8986,274.32,10.62,0,58.62,-3.25
502d47,BTI2HU,,,1776891660,58.5325,18.6338,10972.8,296.93,0,215.81,0.0
502d47,BTI2HU,,,1776891720,58.5858,18.4375,10972.8,297.43,0,214.45,0.33
502d47,BTI2HU,,,1776891780,58.6392,18.2409,10972.8,296.87,0,215.12,0.0
502d47,BTI2HU,,,1776891840,58.6912,18.0434,10972.8,296.93,0,215.81,0.33
502d47,BTI2HU,,,1776891900,58.7437,17.8442,10972.8,296.75,0,217.18,0.0
502d47,BTI2HU,,,1776891960,58.7965,17.6435,10972.8,296.69,0,215.34,0.0
502d47,BTI2HU,,,1776892020,58.8485,17.4434,10972.8,296.5,0,215.57,0.0
502d47,BTI2HU,,,1776892080,58.8997,17.2447,10972.8,296.32,0,216.95,0.0
502d47,BTI2HU,,,1776892140,58.9513,17.0412,10972.8,295.9,0,216.74,0.0
4ac9ed,SAS2690,,,1776891840,58.6703,17.5449,7018.02,11.07,0,190.28,-17.56
4ac9ed,SAS2690,,,1776891900,58.7705,17.5826,5951.22,11.01,0,191.29,-11.05
4ac9ed,SAS2690,,,1776891960,58.8685,17.6187,5135.88,11.82,0,180.8,-13.98
4ac9ed,SAS2690,,,1776892020,58.9617,17.6555,4297.68,11.28,0,173.63,-15.28
4ac9ed,SAS2690,,,1776892080,59.0479,17.6892,3848.1,11.2,0,153.66,-7.48
4ac9ed,SAS2690,,,1776892140,59.1252,17.7281,3421.38,14.96,0,139.51,-3.9
4ac9ed,SAS2690,,,1776892200,59.195,17.7562,2849.88,10.7,0,132.98,-13.0
3c64ac,DLH5EE,,,1776892020,58.5127,17.4423,6073.14,16.93,0,197.89,-7.8
3c64ac,DLH5EE,,,1776892080,58.6139,17.5017,5615.94,17.39,0,196.23,-7.8
3c64ac,DLH5EE,,,1776892140,58.7136,17.5613,5151.12,17.43,0,194.11,-7.15
3c64ac,DLH5EE,,,1776892200,58.8103,17.6198,4724.4,17.41,0,182.23,-6.83
