callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
NSZ6FY,4aca15,B738,B738W26,7.66,175.0,1.4,17.0,30
ASL82Y,502d7b,BCS3,A319-131,519.27,1613.0,137.2,156.0,1460
SAS410,4ac9ee,A20N,A320-271N,225.72,878.0,58.0,69.0,728
RYR63XT,4cae64,B38M,B738W26,441.28,1511.0,131.6,179.0,1367
BTI1X9,502ce5,BCS3,A319-131,680.49,1674.0,148.6,199.0,1520
FIN5LA,461f6e,A320,A320-232,162.75,378.0,43.3,315.0,378
FJO67M,4d24ff,E550,B738W26,112.9,473.0,15.3,24.0,297
RYR305X,4ca6a9,B738,B738W26,217.1,817.0,88.7,245.0,817
NSZ16Z,4aca89,B38M,B738W26,87.23,434.0,48.6,234.0,434
SDM6331,151df2,A319,A319-131,40.09,59.0,7.2,360.0,59
TAY8LL,440102,B734,B73423,315.59,754.0,75.9,243.0,754
WZZ1ZG,4d2528,A21N,A321-131,430.51,1255.0,97.2,116.0,1110
NSZ5DM,4aca92,B38M,B738W26,483.2,1579.0,137.0,176.0,1434
SAS63A,4ac9e2,A20N,A320-271N,190.5,628.0,69.2,312.0,628
SAS92D,4cae75,A20N,A320-271N,257.42,976.0,104.7,220.0,976
RYR736K,48c227,B738,B738W26,318.87,1152.0,82.3,101.0,1008
RYR9SH,4ca9cf,B738,B738W26,203.05,416.0,50.3,315.0,416
NSZ3210,4ab825,B738,B738W26,567.26,1470.0,145.9,169.0,1470
4ab5d5,4ab5d5,B738,B738W26,986.78,1740.0,135.4,116.0,1740
DLH9PK,3c64a3,A21N,A321-131,251.72,375.0,45.2,380.0,375
SAS164,4cad95,A20N,A320-271N,65.55,414.0,15.7,31.0,260
RYR8743,4ca92b,B38M,B738W26,386.57,1360.0,105.7,126.0,1220
SAS1430,45ab22,B738,B738W26,424.45,843.0,101.9,266.0,843
KLM1225,486742,A21N,A321-131,488.4,1384.0,125.5,184.0,1225
