callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS81C,AT76,ATR72-600,0.08,0.0,-0.08,0.0,731,73.9
SAS2472,E195,EMB-195STD,54.35,365.48,311.13,85.1,411,40.6
NSZ3LZ,B738,B738W26,41.72,180.25,138.53,76.9,249,16.0
LNSAN,T206,B738W26,34.08,1112.71,1078.63,96.9,206,8.6
SAS005,A20N,A320-271N,52.86,225.49,172.63,76.6,467,44.5
SAS106,A20N,A320-271N,15.98,84.03,68.05,81.0,129,7.4
DLH9WF,A20N,A320-271N,43.0,235.64,192.64,81.8,359,26.9
SAS705,AT76,ATR72-600,1.73,0.0,-1.73,0.0,868,87.8
NSZ38K,B738,B738W26,70.88,215.79,144.91,67.2,464,43.0
SAS2498,CRJ9,EMB-190LR,55.42,499.65,444.23,88.9,432,44.0
GN11,B738,B738W26,10.89,351.44,340.55,96.9,64,2.2
NSZ8KC,B38M,B738W26,20.28,53.67,33.39,62.2,119,7.8
EWG1JA,B738,B738W26,82.41,336.65,254.24,75.5,587,62.0
SAS404,A20N,A320-271N,25.98,91.61,65.63,71.6,213,12.9
RYR9167,B38M,B738W26,67.93,280.27,212.34,75.8,437,37.3
NSZ3DA,B738,B738W26,80.26,339.86,259.6,76.4,562,57.7
SAS1136,AT76,ATR72-600,0.0,0.0,0.0,0.0,28,1.4
