callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ6FY,B738,B738W26,25.51,7.66,-17.85,-233.0,146,7.5
SAS096,AT76,ATR72-600,0.0,0.0,0.0,0.0,83,2.8
ASL82Y,BCS3,A319-131,28.25,519.27,491.02,94.6,144,7.3
SAS410,A20N,A320-271N,17.94,225.72,207.78,92.1,138,7.3
RYR63XT,B38M,B738W26,26.48,441.28,414.8,94.0,152,7.5
BTI1X9,BCS3,A319-131,29.62,680.49,650.87,95.6,151,7.5
FIN5LA,A320,A320-232,0.09,162.75,162.66,99.9,1,0.2
FJO67M,E550,B738W26,23.56,112.9,89.34,79.1,136,6.1
NSZ16Z,B38M,B738W26,0.14,87.23,87.09,99.8,1,0.1
TAY8LL,B734,B73423,0.15,315.59,315.44,100.0,1,0.1
WZZ1ZG,A21N,A321-131,27.66,430.51,402.85,93.6,137,7.5
NSZ5DM,B38M,B738W26,26.48,483.2,456.72,94.5,152,7.4
SAS63A,A20N,A320-271N,0.09,190.5,190.41,100.0,1,0.2
RYR736K,B738,B738W26,25.49,318.87,293.38,92.0,146,7.4
RYR9SH,B738,B738W26,0.1,203.05,202.95,99.9,1,0.2
NSZ3210,B738,B738W26,3.12,567.26,564.14,99.5,18,1.0
SAS164,A20N,A320-271N,17.94,65.55,47.61,72.6,138,7.3
RYR8743,B38M,B738W26,25.51,386.57,361.06,93.4,146,7.5
KLM1225,A21N,A321-131,33.93,488.4,454.47,93.1,168,7.9
