callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
RYR3CR,48c221,B738,B738W26,158.58,593.0,68.0,223.0,593
FIN50A,461f9b,A321,A321-131,63.27,352.0,10.1,30.0,215
NOZ804,47945c,B738,B738W26,349.14,1383.0,111.5,151.0,1382
NSZ6RD,4aca87,B38M,B738W26,361.62,1414.0,110.7,152.0,1278
SAS025,4cad40,A20N,A320-271N,156.95,732.0,35.5,50.0,586
SAS150,4caf82,A20N,A320-271N,99.59,646.0,28.7,51.0,489
SAS44D,4ac9ea,A20N,A320-271N,24.68,263.0,5.6,24.0,122
SAS83L,47bb0a,A20N,A320-271N,191.26,852.0,49.4,61.0,708
KLM23V,484133,B738,B738W26,81.09,359.0,46.8,338.0,359
RYR85ZR,4cade3,B38M,B738W26,293.79,1084.0,103.8,166.0,1084
DAL204,a12fda,B763,B763ERGE61,499.56,963.0,54.6,57.0,826
RYR5W,4caa59,B738,B738W26,350.8,1400.0,115.5,146.0,1268
QTR4F,06a0c2,B788,B788RR70,119.91,457.0,16.7,40.0,317
JON31,4ab556,B190,B738W26,227.41,672.0,27.2,47.0,495
