callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ2047,B738,B738W26,88.61,270.36,181.75,67.2,601,52.3
FIN5LA,E190,EMB-190STD,42.39,100.07,57.68,57.6,310,25.4
SAS63A,A20N,A320-271N,18.94,60.49,41.55,68.7,157,8.4
RYR8QX,B38M,B738W26,96.95,374.8,277.85,74.1,693,70.5
SAS1430,A20N,A320-271N,45.55,189.6,144.05,76.0,389,26.3
SAS084,AT76,ATR72-600,0.0,0.0,0.0,0.0,245,10.5
SAS198,B738,B738W26,84.06,520.4,436.34,83.8,543,41.8
NSZ16Z,B38M,B738W26,83.98,130.7,46.72,35.7,548,49.4
SAS071,B738,B738W26,91.37,215.67,124.3,57.6,630,58.1
SAS2003,A20N,A320-271N,56.35,141.05,84.7,60.1,488,41.3
ETH715,B788,B788RR70,119.13,475.99,356.86,75.0,605,50.2
SAS2031,A20N,A320-271N,73.02,210.27,137.25,65.3,676,70.2
SAS1556,A20N,A320-271N,73.45,286.36,212.91,74.4,688,65.6
NSZ4114,B738,B738W26,88.04,266.12,178.08,66.9,595,49.9
SAS126,A20N,A320-271N,73.42,406.53,333.11,81.9,688,67.4
