callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ46M,B738,B738W26,89.74,224.15,134.41,60.0,613,58.2
EWG6RY,A21N,A321-131,99.84,527.5,427.66,81.1,685,72.5
WMT745,B738,B738W26,60.0,100.84,40.84,40.5,373,27.3
BAW776F,A21N,A321-131,91.33,345.19,253.86,73.5,615,58.0
ETH715,B788,B788RR70,117.73,577.68,459.95,79.6,598,51.4
VLG1265,A320,A320-232,62.67,161.04,98.37,61.1,403,28.8
NSZ3210,B738,B738W26,13.5,61.15,47.65,77.9,80,4.9
SAS126,A20N,A320-271N,73.66,430.6,356.94,82.9,691,71.9
SAS886,A20N,A320-271N,65.99,291.86,225.87,77.4,601,53.9
SAS66P,CRJ9,EMB-190LR,70.47,330.9,260.43,78.7,572,57.6
SAS2003,A20N,A320-271N,65.94,206.57,140.63,68.1,600,57.2
SAS2586,A20N,A320-271N,72.24,534.75,462.51,86.5,675,70.0
FIN5LA,E190,EMB-190STD,25.57,91.1,65.53,71.9,181,12.9
