callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
RYR4623,B738,B738W26,111.58,602.48,490.9,81.5,706,63.4
NSZ60X,B38M,B738W26,46.19,223.3,177.12,79.3,269,16.5
NSZ4528,B38M,B738W26,25.95,123.34,97.39,79.0,151,6.9
AFR1462,BCS3,A319-131,91.44,364.78,273.34,74.9,518,34.1
SAS1804,A20N,A320-271N,60.79,299.53,238.74,79.7,503,35.8
SAS2690,A20N,A320-271N,68.1,436.38,368.28,84.4,588,59.1
DLH5EE,A21N,A321-131,113.43,739.04,625.61,84.7,753,71.2
SAS1558,A20N,A320-271N,59.87,277.84,217.97,78.5,487,31.1
RYR4772,,B738W26,21.46,191.07,169.61,88.8,182,28.7
BEL9FL,,B738W26,49.54,193.17,143.63,74.4,306,23.2
NSZ4354,B738,B738W26,26.48,106.99,80.51,75.2,169,13.7
