callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS1430,45ab22,B738,B738W26,689.29,1855.0,164.3,170.0,1706
SAS1498,4caf16,B738,B738W26,378.36,1107.0,117.7,213.0,1107
ASL82Y,502d7b,BCS3,A319-131,93.55,482.0,20.4,38.0,329
SAS886,4acaa4,A20N,A320-271N,50.94,262.0,28.6,293.0,262
RYR305X,4ca6a9,B738,B738W26,474.09,1746.0,138.1,156.0,1602
RYR63XT,4cae64,B38M,B738W26,274.61,1158.0,85.8,128.0,1014
ETH715,040123,B788,B788RR70,248.07,541.0,61.1,230.0,541
SAS084,4ab5d5,B738,B738W26,1014.04,2026.0,142.5,110.0,1864
FIN5LA,461f6e,A320,A320-232,457.37,1619.0,130.5,160.0,1464
NSZ46M,4aca4f,B738,B738W26,119.73,531.0,56.3,193.0,531
TAY8LL,440102,B734,B73423,518.71,1592.0,124.7,163.0,1431
SAS92D,4cae75,A20N,A320-271N,378.01,1605.0,137.0,168.0,1449
NSZ16Z,4aca89,B38M,B738W26,223.97,1170.0,90.0,142.0,1010
SAS071,4cadda,B738,B738W26,250.12,1090.0,88.4,151.0,930
RYR9SH,4ca9cf,B738,B738W26,597.71,1870.0,150.1,160.0,1726
SAS63A,4ac9e2,A20N,A320-271N,405.59,1751.0,139.8,179.0,1602
NSZ3210,4ab825,B738,B738W26,569.27,1633.0,146.4,168.0,1480
KLM1225,486742,A21N,A321-131,61.91,371.0,11.3,31.0,212
NSZ4114,4aca88,B38M,B738W26,144.73,395.0,46.7,300.0,395
RYR18AA,48c2b3,B38M,B738W26,329.13,628.0,76.8,383.0,628
BCS3789,451dbd,B734,B73423,544.82,876.0,95.8,340.0,876
SAS126,4780c7,B738,B738W26,260.76,859.0,90.6,272.0,859
