callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS61A,A20N,A320-271N,60.06,265.32,205.26,77.4,520,41.6
SAS94Y,A20N,A320-271N,57.39,235.39,178.0,75.6,493,39.3
SAS898,CRJ9,EMB-190LR,54.1,199.39,145.29,72.9,399,29.8
SAS30P,A20N,A320-271N,50.54,83.07,32.53,39.2,428,32.9
NSZ2ES,B38M,B738W26,79.39,192.35,112.95,58.7,503,37.7
QTR54A,B788,B788RR70,108.73,522.37,413.64,79.2,540,43.3
DLH8XM,A20N,A320-271N,53.05,339.64,286.59,84.4,451,33.6
SWR9PX,A321,A321-131,79.96,200.22,120.26,60.1,492,40.1
BAW772,A320,A320-232,70.1,78.43,8.33,10.6,452,31.0
WMT3VQ,A321,A321-131,77.44,356.27,278.83,78.3,466,35.7
NJE901W,E55P,EMB-505,15.35,119.24,103.89,87.1,285,21.2
NSZ2621,B738,B738W26,21.94,68.69,46.75,68.1,129,8.2
NSZ4506,B738,B738W26,49.4,121.88,72.48,59.5,298,19.9
IBE0823,A20N,A320-271N,53.6,145.11,91.51,63.1,456,33.2
NSZ56J,B38M,B738W26,80.56,266.62,186.06,69.8,513,41.3
RYR4623,B38M,B738W26,87.19,238.81,151.62,63.5,560,50.3
