callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS2472,4aca78,E195,EMB-195STD,365.48,1493.0,118.3,148.0,1337
NSZ3LZ,4aca4a,B738,B738W26,180.25,658.0,31.3,42.0,510
LNSAN,47bb7d,T206,B738W26,1112.71,1800.0,74.5,58.0,1798
SAS005,4cafce,A20N,A320-271N,225.49,1286.0,94.1,137.0,1144
SAS106,4cac8a,A20N,A320-271N,84.03,444.0,15.9,30.0,303
DLH9WF,3c65d5,A20N,A320-271N,235.64,971.0,63.5,75.0,831
NSZ38K,4aca4f,B738,B738W26,215.79,903.0,80.5,158.0,903
MCK311,3e52f8,C25A,B738W26,1.44,8.0,0.8,347.0,8
SEJXV,4aab16,G2CA,B738W26,49.08,1656.0,2.0,16.0,73
SAS2498,4cafd6,CRJ9,EMB-190LR,499.65,1552.0,138.6,196.0,1403
GN11,4aecc5,B738,B738W26,351.44,793.0,23.9,30.0,551
NSZ8KC,4aca92,B38M,B738W26,53.67,335.0,9.3,30.0,194
EWG1JA,4d2081,B738,B738W26,336.65,912.0,102.3,296.0,912
SAS404,4ac9e4,A20N,A320-271N,91.61,547.0,21.8,37.0,395
RYR9167,4cac56,B38M,B738W26,280.27,1146.0,79.6,109.0,1008
NSZ3DA,478772,B738,B738W26,339.86,647.0,78.0,343.0,647
