callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
FIN50A,A321,A321-131,40.75,63.27,22.52,35.6,228,15.1
NOZ804,B738,B738W26,115.68,349.14,233.46,66.9,933,111.0
NSZ6RD,B38M,B738W26,119.33,361.62,242.29,67.0,972,115.4
SAS025,A20N,A320-271N,58.17,156.95,98.78,62.9,507,40.1
SAS150,A20N,A320-271N,49.52,99.59,50.07,50.3,425,33.5
SAS44D,A20N,A320-271N,20.66,24.68,4.02,16.3,172,10.3
NYX801,AT45,ATR42-500,1.696980009979561e+120,0.0,-1.696980009979561e+120,0.0,4010,93.7
SAS83L,A20N,A320-271N,69.72,191.26,121.54,63.5,622,54.1
RYR85ZR,B38M,B738W26,113.35,293.79,180.44,61.4,912,103.6
DAL204,B763,B763ERGE61,141.98,499.56,357.58,71.6,651,59.4
RYR5W,B738,B738W26,122.76,350.8,228.04,65.0,1029,120.2
QTR4F,B788,B788RR70,63.98,119.91,55.93,46.6,311,21.7
JON31,B190,B738W26,70.16,227.41,157.25,69.1,442,31.9
