callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
TVF73RQ,39de49,A20N,A320-271N,474.94,1431.0,146.2,197.0,1431
SAS1410,4acb5a,A20N,A320-271N,440.85,1600.0,156.5,198.0,1600
JTD760,45ab27,B738,B738W26,496.05,1849.0,158.7,185.0,1693
UPS291,45cf23,B763,B763ERGE61,100.35,338.0,8.5,24.0,168
RYR4636,48c124,B738,B738W26,231.93,1008.0,62.2,93.0,851
RYR8LW,4d221a,B738,B738W26,247.27,1048.0,108.1,214.0,1048
SAS1488,4cad95,A20N,A320-271N,253.89,1423.0,105.7,154.0,1261
EWG4BW,4d2081,C207,B738W26,565.26,1836.0,168.6,211.0,1668
SAS86L,4cad88,A20N,A320-271N,379.57,1540.0,138.8,187.0,1377
LOT6AD,48af10,B38M,B738W26,414.78,1290.0,123.3,175.0,1290
BAW778F,4076e4,A21N,A321-131,461.15,1281.0,116.3,129.0,1248
VKG4509,45d961,A21N,A321-131,223.75,912.0,52.6,74.0,728
RYR1YC,4ca92b,B38M,B738W26,154.26,727.0,44.3,69.0,579
RHH058,4bca67,LJ45,B738W26,264.87,1216.0,101.2,176.0,1050
