callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
KLM73J,E190,EMB-190STD,41.08,159.32,118.24,74.2,291,22.1
AUA965R,A320,A320-232,73.69,617.84,544.15,88.1,540,51.4
SAS1712,A20N,A320-271N,55.33,1800.46,1745.13,96.9,491,48.5
FIN69V,A321,A321-131,81.08,1942.57,1861.49,95.8,548,57.7
BTI9FY,BCS3,A319-131,68.67,946.2,877.53,92.7,456,38.6
NSZ2845,B38M,B738W26,82.91,347.14,264.23,76.1,588,59.2
FIN67E,A321,A321-131,81.03,757.85,676.82,89.3,549,54.7
SAS76H,A20N,A320-271N,61.58,583.56,521.98,89.4,565,61.0
NSZ2030,B738,B738W26,63.71,1860.3,1796.59,96.6,390,27.6
LEA021J,F900,B738W26,78.5,1022.38,943.88,92.3,537,54.7
NJE715Y,E55P,EMB-505,1.26,19.19,17.93,93.4,22,1.3
NSZ2ES,B738,B738W26,82.83,897.71,814.88,90.8,587,62.7
NOZ1053,B738,B738W26,81.27,1053.45,972.19,92.3,571,56.3
4607f8,DA42,B738W26,64.29,1451.87,1387.58,95.6,391,14.7
SAS709,AT76,ATR72-600,0.0,0.0,0.0,0.0,716,77.6
IBE0823,A20N,A320-271N,59.81,1146.21,1086.4,94.8,543,56.1
RYR525H,B738,B738W26,72.01,216.45,144.44,66.7,469,41.5
RYR1501,B738,B738W26,78.85,1907.0,1828.15,95.9,545,52.4
FIN2KK,AT75,ATR72-500,0.0,0.0,0.0,0.0,62,4.1
NSZ56J,B38M,B738W26,82.66,990.41,907.75,91.7,586,60.2
SAS2746,E195,EMB-195STD,58.61,442.25,383.64,86.7,451,50.0
SAS2860,A20N,A320-271N,43.19,168.5,125.31,74.4,360,24.7
BLX248,B788,B788RR70,109.81,1394.82,1285.01,92.1,575,59.1
NOZ4TL,B738,B738W26,81.27,822.4,741.13,90.1,571,56.7
SAS36F,CRJ9,EMB-190LR,50.72,1772.15,1721.43,97.1,378,37.2
NOZ1911,B38M,B738W26,81.27,831.38,750.12,90.2,571,56.9
SAS84B,A20N,A320-271N,52.1,961.61,909.51,94.6,454,42.5
FIN286,AT75,ATR72-500,0.0,0.0,0.0,0.0,82,5.0
FNF212,PC12,ATR42-300,49.0,0.0,-49.0,0.0,711,84.2
SAS38M,A20N,A320-271N,43.88,117.04,73.16,62.5,366,27.7
WZZ563,B738,B738W26,79.56,713.93,634.37,88.9,549,52.7
RYR305X,B738,B738W26,78.5,821.98,743.49,90.5,537,55.0
SAS080,AT76,ATR72-600,0.0,0.0,0.0,0.0,583,63.3
SAS1015,AT76,ATR72-600,0.0,0.0,0.0,0.0,481,46.6
NSZ2MP,B738,B738W26,79.94,554.58,474.64,85.6,557,56.2
NOZ2KU,B738,B738W26,81.53,766.22,684.69,89.4,573,56.7
SAS4225,AT76,ATR72-600,0.0,0.0,0.0,0.0,603,62.3
SWR2VF,E190,EMB-190STD,47.95,246.54,198.59,80.6,350,30.6
EWG9L,A319,A319-131,80.51,1204.82,1124.31,93.3,557,55.7
RYR267E,B38M,B738W26,58.79,141.43,82.64,58.4,356,26.3
SAS32H,A20N,A320-271N,60.7,616.2,555.5,90.1,554,55.7
NSZ2621,B38M,B738W26,82.65,928.1,845.45,91.1,586,60.7
WMT6WD,A20N,A320-271N,58.21,425.55,367.34,86.3,526,51.2
SAS4473,A20N,A320-271N,59.9,730.21,670.31,91.8,547,56.1
LGL81AR,DH8D,ATR72-600,0.0,0.0,0.0,0.0,2165,252.3
SAS1456,A20N,A320-271N,49.12,957.48,908.36,94.9,419,35.2
SAS61A,A20N,A320-271N,55.33,1138.03,1082.7,95.1,491,48.4
