callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS55C,511.45,66.86,444.59,86.9,594,58.8
SAS884,403.71,68.54,335.17,83.0,607,58.7
NSZ4110,430.7,107.34,323.36,75.1,710,58.7
RYR82,649.54,84.37,565.17,87.0,549,52.5
SAS89A,362.1,97.5,264.6,73.1,634,52.4
THY8WZ,726.62,91.36,635.26,87.4,600,57.1
RYR43ZZ,818.09,89.45,728.64,89.1,589,57.2
RYR4HR,577.08,93.35,483.73,83.8,612,57.2
RYR4636,622.21,91.52,530.69,85.3,601,57.2
DLH2PM,456.43,93.22,363.21,79.6,643,57.1
