callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS46C,A20N,A320-271N,77.58,835.52,757.94,90.7,716,77.1
SAS1017,A20N,A320-271N,77.23,833.87,756.64,90.7,713,77.0
SAS035,A20N,A320-271N,79.53,688.12,608.59,88.4,731,77.0
NSZ12U,B738,B738W26,106.32,823.81,717.49,87.1,738,77.1
NSZ4110,B738,B738W26,95.68,379.79,284.11,74.8,630,58.8
TVF77CG,A20N,A320-271N,71.21,344.38,273.17,79.3,629,58.7
FIN5LQ,A321,A321-131,90.97,350.56,259.59,74.0,568,52.5
SAS711,CRJ9,EMB-190LR,65.78,503.47,437.69,86.9,510,52.5
CCA911,A359,A350-941,175.8,455.0,279.2,61.4,619,52.5
BLX248,B788,B788RR70,127.48,751.17,623.69,83.0,642,57.1
EWG6RY,B738,B738W26,96.21,442.58,346.37,78.3,630,57.1
