callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS55C,A20N,A320-271N,66.86,511.45,444.59,86.9,594,58.8
SAS884,A20N,A320-271N,68.54,403.71,335.17,83.0,607,58.7
NSZ4110,B738,B738W26,107.34,430.7,323.36,75.1,710,58.7
RYR82,B738,B738W26,84.37,649.54,565.17,87.0,549,52.5
SAS89A,B738,B738W26,97.5,362.1,264.6,73.1,634,52.4
THY8WZ,B738,B738W26,91.36,726.62,635.26,87.4,600,57.1
RYR43ZZ,B738,B738W26,89.45,818.09,728.64,89.1,589,57.2
RYR4HR,B738,B738W26,93.35,577.08,483.73,83.8,612,57.2
RYR4636,B38M,B738W26,91.52,622.21,530.69,85.3,601,57.2
DLH2PM,A320,A320-232,93.22,456.43,363.21,79.6,643,57.1
