callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS46C,835.52,77.58,757.94,90.7,716,77.1
SAS1017,833.87,77.23,756.64,90.7,713,77.0
SAS035,688.12,79.53,608.59,88.4,731,77.0
NSZ12U,823.81,106.32,717.49,87.1,738,77.1
NSZ4110,379.79,95.68,284.11,74.8,630,58.8
TVF77CG,344.38,71.21,273.17,79.3,629,58.7
FIN5LQ,350.56,90.97,259.59,74.0,568,52.5
SAS711,503.47,65.78,437.69,86.9,510,52.5
CCA911,455.0,175.8,279.2,61.4,619,52.5
BLX248,751.17,127.48,623.69,83.0,642,57.1
EWG6RY,442.58,96.21,346.37,78.3,630,57.1
