callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
DLH8XM,3c6486,A321,A321-131,1153.33,2511.0,209.2,235.0,2353
SWE13U,4acac3,PC24,EMB-505,273.87,1832.0,187.9,187.0,1680
RYR305X,4d2263,B738,B738W26,1158.45,2617.0,245.2,257.0,2453
WMT6WD,4d2422,A20N,A320-271N,355.13,1878.0,117.0,196.0,1452
YLPAZ,502cef,DA42,B738W26,1144.91,2040.0,58.3,33.0,1683
SAS76H,4cad88,A20N,A320-271N,79.62,523.0,22.3,37.0,356
FIN6HL,461e21,E190,EMB-190STD,985.37,1748.0,195.3,385.0,1747
IBE0823,346458,A20N,A320-271N,765.68,2191.0,199.1,241.0,2033
NSZ2ES,4aca83,B38M,B738W26,1182.57,2442.0,235.4,258.0,2278
GN14,4aeccb,B738,B738W26,252.59,801.0,19.2,32.0,455
FIN09DM,342059,A321,A321-131,2500.79,3254.0,370.3,347.0,3253
FIN9WA,461fa2,A321,A321-131,1746.98,1751.0,203.0,340.0,1747
NSZ2030,4acb02,B738,B738W26,203.64,922.0,57.5,80.0,760
RYR4TR,4cadf7,B38M,B738W26,282.83,1385.0,77.2,124.0,1003
SAS32H,4acb5a,A20N,A320-271N,1295.26,2287.0,246.5,284.0,2286
AUA965R,44022d,A320,A320-232,1043.32,2313.0,202.4,245.0,2140
SAS59Z,4cad89,A20N,A320-271N,1488.0,2401.0,215.3,221.0,2232
DKH1662,782158,B789,B789RR74,5091.28,2944.0,364.4,350.0,2943
FIN142,461f4c,A359,A350-941,3978.36,1671.0,211.4,410.0,1670
DKH1660,78165e,B789,B789RR74,4176.64,2376.0,294.7,350.0,2375
FIN6G,461e1f,E190,EMB-190STD,1334.73,1804.0,197.8,300.0,1803
KLM73J,484cc3,E190,EMB-190STD,176.83,1019.0,44.7,64.0,618
NSZ56J,4791ac,B738,B738W26,999.73,2365.0,203.6,253.0,2235
AFL1004,15202d,A320,A320-232,1247.9,1952.0,268.4,335.0,1951
T7ISA,500026,PAY1,B738W26,654.48,1016.0,66.0,64.0,1016
NSZ2621,4aca84,B38M,B738W26,177.8,789.0,43.2,68.0,627
WMT3201,471f6e,A321,A321-131,1504.64,3041.0,266.0,252.0,2876
PGT2RJ,4bc894,A21N,A321-131,627.81,1115.0,78.2,269.0,715
TR11,4aecc5,B738,B738W26,586.47,1586.0,37.9,32.0,910
SWR2VF,4b028c,E290,B738W26,291.13,1346.0,77.4,120.0,951
SAS898,4ca14e,B738,B738W26,975.47,2363.0,216.8,217.0,2191
TAP780,4952cf,A20N,A320-271N,257.38,1403.0,93.4,155.0,1233
SAS61A,4ac9e6,A20N,A320-271N,1186.69,2675.0,243.4,271.0,2502
SAS430,4cad91,A20N,A320-271N,157.63,519.0,43.1,178.0,519
SAS94Y,4a91fa,A20N,A320-271N,548.73,1100.0,116.1,370.0,1100
FIN20G,461f9c,A321,A321-131,43.2,82.0,5.5,19.0,82
MDT5,47b007,CL35,B738W26,1482.79,1501.0,172.2,265.0,1501
SAS51D,4cad95,A20N,A320-271N,333.11,528.0,67.2,370.0,528
FIN2PD,461f64,A320,A320-232,70.49,214.0,12.2,26.0,214
