callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS51N,A20N,A320-271N,85.14,588.1,502.96,85.5,788,71.4
BAW770,A21N,A321-131,121.32,798.56,677.24,84.8,809,71.3
FIN3EJ,A321,A321-131,98.74,343.59,244.85,71.3,628,52.5
RYR57D,B38M,B738W26,90.68,418.3,327.62,78.3,601,52.5
NSZ3LZ,B738,B738W26,219.58,0.0,-219.58,0.0,1545,52.4
GAV553,CRJ9,EMB-190LR,70.0,566.62,496.62,87.6,550,50.2
SAS1142,AT76,ATR72-600,1243.41,0.0,-1243.41,0.0,1791,50.2
SAS58E,A20N,A320-271N,64.19,692.71,628.52,90.7,569,50.3
NSZ96Y,B38M,B738W26,87.88,826.17,738.29,89.4,579,50.3
RYR98EF,B738,B738W26,86.92,971.77,884.86,91.1,574,50.4
