callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
SAS81C,4ab56b,N,9,60.26490783691406,18.37823275862069,3048.0,135.18135740260809,202.36827502739018,-0.32512,10.901406952797375,1781170752.2802
SAS005,47ba78,N,9,60.265045166015625,18.351051067483837,3444.2400000000002,151.5515701652997,200.46499121675632,-9.7536,11.503704513588241,1781169266.3473144
SAS705,4ab562,N,9,59.803802490234375,18.495849609375,2484.1200000000003,132.74050904910908,275.11401383139514,-7.80288,20.574283382251853,1781169120.0
JON09,4ab5e6,E,66,59.38453674316406,19.127105712890625,4251.96,155.17118353223088,258.91358698834034,-9.7536,13.897193545478133,1781169610.3787954
SAS92D,4cad87,S,160,58.72608947753906,17.53630607358871,6240.780000000001,192.99605093687742,22.737346389945127,-7.477760000000001,12.14800258246145,
THY6QL,4bab46,S,160,58.88723082461599,17.93555950296336,5341.62,193.12559391270875,12.148055461185548,-5.20192,12.755424195688347,1781171661.0
SAS106,4ab567,S,160,58.80043029785156,17.284063523815526,5189.22,141.81682516034968,39.40639655088775,0.0,20.997415847438646,1781171264.5419002
RYR305X,4cac1f,W,45,59.65827941894531,16.698944091796875,4511.04,185.54605159139487,41.29053393225769,-8.77824,3.7359780597965853,1781169191.673188
AFR11ZB,39e699,W,45,59.652130644200206,16.70026055697737,4450.08,200.3823767014303,76.0351086490027,-12.679680000000001,4.104927551399724,1781170309.0128143
SCQZ2H,478ecf,W,45,59.65177917480469,16.658935546875,304.8,36.452995088083725,188.93059010041898,-1.30048,4.312246059872349,
NSZ4EM,4aca88,W,45,59.80165643207097,16.69874520137392,3954.78,170.84498576824305,80.99149625797484,-9.10336,4.872896066080719,1781171857.5863023
FIN7PA,461e17,W,45,59.80179608878443,16.69969229862608,4419.6,182.85354578775562,80.93519069813075,-12.029440000000001,4.881088921546879,1781172058.1802378
