callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS1017,4a91f9,N,9,59.9236,18.4286,3550.92,151.55,172.39,-6.18,21.907641175897933
FIN5LQ,461f63,E,66,59.7326,19.6084,6454.14,164.2,255.48,-13.98,16.167796058999937
SAS051,4ab56b,E,66,59.795,18.2744,2750.82,145.81,187.5,0.0,24.33883636566551
SEMNX,4ab5d8,E,66,59.5895,18.1722,0.0,36.38,236.53,-2.28,29.183629785412837
SAS082,4ab561,S,160,59.019,18.1223,3909.06,116.43,11.21,-4.88,14.606437128806323
NSZ3206,4ab824,S,160,58.5459,17.3928,6934.2,183.06,43.29,-12.68,21.86601320931052
SAS2132,4ab56f,S,160,59.1813,18.0644,2125.98,110.12,358.66,0.33,22.809770702703894
SAS196,4ab567,S,160,58.2956,17.4494,3970.02,128.55,23.59,0.33,33.81527813835063
RYR77PM,4ca801,S,160,59.4253,17.8946,1310.64,108.55,346.29,-7.15,36.607447003045785
NSZ6LA,4aca86,W,45,59.8152,17.0381,3131.82,161.12,105.37,-2.93,12.020314108992265
KLM29K,486897,W,45,59.5943,16.4728,5654.04,180.03,48.48,-11.05,16.901365174256
BEL4BP,44ce62,W,45,59.6521,17.2772,1866.9,138.01,159.94,-2.93,22.73789817376917
SETTB,4ad282,W,45,59.5378,15.7752,822.96,54.58,156.09,-0.33,32.85910868819342
