callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS051,4ab56b,N,9,61.015,18.0848,6096.0,185.44,168.32,0.0,46.60947319504028
SAS711,4ca1cc,E,66,59.6571,19.0065,3779.52,158.81,258.03,-8.45,6.3406590234817415
CAO3061,780005,E,66,59.4861,18.1166,1005.84,113.25,260.32,-3.25,33.35702190873248
FIN927,461e21,E,66,60.0938,20.9174,12192.0,235.49,258.15,0.33,58.97999442528639
FIN5KA,461f6c,E,66,58.9399,20.195,11567.16,233.24,231.54,0.0,59.8148321409395
RYR77PM,4ca801,S,160,58.5116,17.4013,7231.38,182.39,39.39,-10.08,23.272152662543512
SAS2132,4ab56f,S,160,58.5264,17.1653,5181.6,119.48,52.0,0.33,27.86715151438717
SEMNX,4ab5d8,S,160,59.2745,18.2556,1143.0,64.92,356.82,0.33,30.088671232585913
SCQ7Y,478dd3,W,45,59.807,15.7107,998.22,61.05,163.86,0.33,28.534272585278117
SAS2065,4ac9e5,W,45,60.5196,16.484,7033.26,241.03,159.9,-13.0,39.84100699791859
BEL4BP,44ce62,W,45,59.0872,15.4198,9265.92,218.38,46.91,-10.73,59.72854132671062
