callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS50P,4ac9e5,N,9,60.40106304621292,18.395821707589285,9281.16,214.25650770056708,18.043412005331277,6.827520000000001,9.324789513207737
SAS22Y,4780c7,N,9,60.12039960440943,17.998646327427455,7185.660000000001,197.84167885288224,3.130244862219096,10.72896,20.085610280530467
SAS1772,4ca6d9,E,66,59.735595703125,18.681884765625,4655.820000000001,172.7444428790708,86.07242337378254,13.655040000000001,11.992243576445398
SAS2720,4ab56b,E,66,59.715767553297134,18.288921487742456,1638.3000000000002,83.78964700796757,65.32313682966294,7.477760000000001,23.94575891467103
SAS728,4caf12,E,66,59.665956658832094,17.998067921605603,297.18,77.11857027943523,76.89079180184571,15.93088,33.09590932054733
ETH715,040032,E,66,59.6599514201536,17.94806118669181,-99.06,45.168651939253444,75.48894049983093,0.32512,34.65202661593485
VKG4072,45d96f,E,66,59.659858315677965,17.947303508890087,-99.06,47.163601939292974,76.11533231474182,0.32512,34.675630908632165
SAS085,4ab567,S,160,58.62337274066472,18.32354736328125,3665.2200000000003,142.52234418310087,175.0302592718897,0.0,18.423752375936424
EUW2323,4ac9d4,S,160,58.87954970537606,15.848820127289871,10363.2,217.41574480699634,243.73809826663614,-0.32512,62.68088915948346
TAY8LL,440d92,S,160,58.130218505859375,15.768570438508066,11582.400000000001,212.2659780977038,216.425537930799,0.0,77.57634770761437
RYR5JA,4ca9ed,S,160,58.02392578125,15.150943879158266,10972.800000000001,209.36353956849794,222.51044707800085,0.0,97.62793068879274
BCS4VA,8940c4,S,160,57.19845529329979,16.301318753150202,10363.2,229.07030816771737,197.78388844269253,0.0,109.07130048067125
SAS2062,4a91fa,W,45,59.97821044921875,17.610421016298492,5951.22,223.395492962986,333.6119692056396,13.004800000000001,29.73453974878439
EWG4BW,4d2081,W,45,59.806032342425844,17.739036823141163,1280.16,133.87509364224198,57.71455818560112,-7.477760000000001,33.01458057872487
JTD760,45ab27,W,45,59.286163330078125,16.782257080078125,4724.400000000001,165.07881926372258,41.589055044644276,-9.10336,34.75780678011051
NSZ2771,4aca82,W,45,59.19112383309057,16.23040561018319,11277.6,245.2662687827513,62.78999543259832,0.0,42.21418334860904
BAW778F,4076e4,W,45,58.44549663996292,12.768218994140625,10058.4,248.4210605505865,55.7175790641192,-0.32512,146.6182219248558
