callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS2003,A20N,A320-271N,77.2,568.97,491.77,86.4,704,77.1
SAS2031,A20N,A320-271N,81.71,476.91,395.2,82.9,739,77.0
SAS071,A20N,A320-271N,80.16,495.63,415.47,83.8,727,77.2
NSZ46M,B738,B738W26,102.21,698.47,596.26,85.4,705,77.1
NSZ4114,B38M,B738W26,90.98,361.68,270.7,74.8,595,58.8
ETH715,B788,B788RR70,124.32,685.23,560.91,81.9,620,58.7
SAS886,A20N,A320-271N,70.22,279.84,209.62,74.9,614,58.7
SAS1498,B738,B738W26,102.12,70.85,-31.27,-44.1,663,58.7
NSZ2047,B738,B738W26,97.14,276.14,179.0,64.8,631,58.7
FIN5LA,E190,EMB-190STD,71.97,291.14,219.17,75.3,556,56.4
TAY8LL,B734,B73423,94.87,271.2,176.33,65.0,596,56.4
RYR8QX,B738,B738W26,104.41,339.51,235.1,69.2,694,68.3
WMT745,A21N,A321-131,127.64,280.95,153.31,54.6,791,68.3
