callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS2003,568.97,77.2,491.77,86.4,704,77.1
SAS2031,476.91,81.71,395.2,82.9,739,77.0
SAS071,495.63,80.16,415.47,83.8,727,77.2
NSZ46M,698.47,102.21,596.26,85.4,705,77.1
NSZ4114,361.68,90.98,270.7,74.8,595,58.8
ETH715,685.23,124.32,560.91,81.9,620,58.7
SAS886,279.84,70.22,209.62,74.9,614,58.7
SAS1498,70.85,102.12,-31.27,-44.1,663,58.7
NSZ2047,276.14,97.14,179.0,64.8,631,58.7
FIN5LA,291.14,71.97,219.17,75.3,556,56.4
TAY8LL,271.2,94.87,176.33,65.0,596,56.4
RYR8QX,339.51,104.41,235.1,69.2,694,68.3
WMT745,280.95,127.64,153.31,54.6,791,68.3
