callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS83L,4ac9ed,N,9,61.24200439453125,19.008996146065847,9532.62,211.02051421730533,197.59567206994396,-10.07872,58.77745971343849
SAS1004,4ac9f8,N,9,61.63590770656779,18.836568196614586,11894.82,211.02051421730533,17.59567206994398,0.0,81.64582090061086
FNF288,467895,N,9,60.79959675417108,21.825321742466517,7734.3,114.76252911535646,234.67132099787986,2.9260800000000002,98.92591106378781
NSZ5B,4aca82,N,9,61.960235595703125,19.169278826032368,10668.0,225.5612556172296,20.005435351444984,0.0,102.06227429442308
SAS024,4caf7e,N,9,62.938201904296875,19.919230143229168,5920.740000000001,176.15707401090486,21.770338025453544,-10.72896,163.7232453353169
DFL5980,4aab15,E,66,59.47792053222656,18.298736572265625,388.62,69.09846656940063,39.25939336104809,-0.32512,30.31908456374648
RYR736K,48c2a7,E,66,59.65380652476165,17.989922885237068,-53.34,51.675381256283345,189.74364128703715,-0.32512,35.120407367314506
NJE783D,49328f,E,66,59.68721008300781,17.972808837890625,213.36,57.417573974761,192.4174457900763,-2.9260800000000002,35.32162294451809
EWG7VK,3c48ee,E,66,59.64272709216102,17.95667977168642,-53.34,51.76492895776058,190.30484646876602,-0.65024,36.237291094884654
KLM23V,484557,E,66,59.63974774894068,17.955543254983837,-53.34,53.37588924457409,190.55180950619228,-0.32512,36.306766968111866
BTI1R2,502d7b,S,160,58.80958557128906,17.467818721648186,8839.2,235.62040652657004,115.61393908534727,0.0,14.019996336159936
EWG1JA,4d2414,S,160,59.04048156738281,17.650543212890625,5181.6,173.4965726827777,29.681664206545424,-7.152640000000001,15.852455876054387
SAS46M,4ac9e9,S,160,58.667633056640625,17.429366573210686,6362.700000000001,180.0531952265013,24.294923767579043,-12.029440000000001,17.642061382097786
LOT4AY,48e95f,S,160,58.44721984863281,17.8253173828125,7536.18,181.69780466909975,4.709754305239072,-10.07872,22.3090247325006
SAS077,4ab5d0,S,160,59.26190185546875,18.180999755859375,2933.7000000000003,107.08964645730366,173.93336692639488,4.55168,27.995067329571942
SAS60P,47ba78,W,45,59.866084729210804,16.44189242658944,4351.02,189.37200033551338,101.27940728803611,-12.354560000000001,7.95806293324261
RYR8LW,4ca73e,W,45,59.62294006347656,16.23944091796875,5455.92,188.74206511758655,61.688667202636374,-9.10336,20.081803376018613
FIN50A,461f9a,W,45,59.73335266113281,15.782135009765625,8724.9,213.18909437260783,280.8489730624808,6.502400000000001,28.92883599651273
RYR89JJ,4d225e,W,45,59.4151611328125,16.163818359375,6781.8,218.26495473509505,45.381966204729025,-13.655040000000001,31.416093479273727
NSZ51M,4aca84,W,45,59.351822158037606,17.322408741918103,3604.26,172.43085460637235,221.2502482141995,12.679680000000001,35.85421282217226
