callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS30P,A20N,A320-271N,89.58,416.34,326.76,78.5,832,77.1
SAS68L,A20N,A320-271N,95.27,267.87,172.6,64.4,880,77.1
SAS2727,AT76,ATR72-600,1.0952058127864468e+115,0.0,-1.0952058127864468e+115,0.0,4039,77.1
EUW9916,C25B,B738W26,119.47,491.17,371.7,75.7,842,77.1
SAS55A,A20N,A320-271N,76.66,377.67,301.01,79.7,701,67.0
SAS51D,A20N,A320-271N,75.79,401.36,325.57,81.1,694,66.9
NSZ5700,B38M,B738W26,102.32,419.71,317.39,75.6,704,66.9
SAS496,A20N,A320-271N,77.67,371.45,293.78,79.1,709,66.9
SAS898,CRJ9,EMB-190LR,78.68,431.14,352.46,81.8,649,66.9
RYR82,B38M,B738W26,131.96,733.4,601.44,82.0,1009,103.1
RJA143,B738,B738W26,112.76,679.79,567.03,83.4,877,98.4
SAS29Z,CRJ9,EMB-190LR,97.74,626.85,529.11,84.4,868,98.3
SWR9PX,A21N,A321-131,130.32,729.95,599.63,82.1,913,98.3
UAE4T,B77W,B773ERGE115B,265.44,1247.25,981.81,78.7,897,98.3
SAS987P,A20N,A320-271N,100.1,535.68,435.58,81.3,968,98.3
