callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS30P,416.34,89.58,326.76,78.5,832,77.1
SAS68L,267.87,95.27,172.6,64.4,880,77.1
SAS2727,0.0,1.0952058127864468e+115,-1.0952058127864468e+115,0.0,4039,77.1
EUW9916,491.17,119.47,371.7,75.7,842,77.1
SAS55A,377.67,76.66,301.01,79.7,701,67.0
SAS51D,401.36,75.79,325.57,81.1,694,66.9
NSZ5700,419.71,102.32,317.39,75.6,704,66.9
SAS496,371.45,77.67,293.78,79.1,709,66.9
SAS898,431.14,78.68,352.46,81.8,649,66.9
RYR82,733.4,131.96,601.44,82.0,1009,103.1
RJA143,679.79,112.76,567.03,83.4,877,98.4
SAS29Z,626.85,97.74,529.11,84.4,868,98.3
SWR9PX,729.95,130.32,599.63,82.1,913,98.3
UAE4T,1247.25,265.44,981.81,78.7,897,98.3
SAS987P,535.68,100.1,435.58,81.3,968,98.3
