callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS30P,A20N,A320-271N,89.58,416.34,326.76,78.5,832,77.1
SAS68L,A20N,A320-271N,95.27,267.87,172.6,64.4,880,77.1
SAS2727,AT76,ATR72-600,1.0952058127864468e+115,0.0,-1.0952058127864468e+115,0.0,4039,77.1
SAS94Y,A20N,A320-271N,114.86,372.7,257.84,69.2,1065,77.1
SAS55A,A20N,A320-271N,91.8,530.75,438.95,82.7,876,88.1
SAS51D,A20N,A320-271N,90.61,560.97,470.37,83.8,866,88.2
NSZ5700,B38M,B738W26,119.56,595.41,475.85,79.9,878,88.2
SAS496,A20N,A320-271N,93.44,522.84,429.4,82.1,890,88.2
NSZ2ES,B38M,B738W26,123.82,630.59,506.77,80.4,905,88.2
RYR82,B38M,B738W26,115.6,550.27,434.67,79.0,834,81.9
RJA143,B738,B738W26,84.56,207.51,122.95,59.3,554,50.3
SAS29Z,CRJ9,EMB-190LR,66.47,247.49,181.03,73.1,520,50.3
SWR9PX,A21N,A321-131,86.55,253.32,166.77,65.8,556,50.2
UAE4T,B77W,B773ERGE115B,201.01,255.97,54.96,21.5,574,50.3
SAS987P,A20N,A320-271N,65.06,177.41,112.35,63.3,571,50.2
