callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS31A,A20N,A320-271N,92.33,657.47,565.14,86.0,852,77.1
BLX983P,B38M,B738W26,102.39,426.96,324.57,76.0,679,58.8
SAS884,A20N,A320-271N,77.51,351.12,273.61,77.9,688,58.7
JON53,BE20,B738W26,111.56,380.17,268.61,70.7,740,58.7
NSZ2616,B38M,B738W26,90.17,488.37,398.2,81.5,590,52.5
SAS739,CRJ9,EMB-190LR,68.85,479.64,410.79,85.6,539,52.5
SAS80D,A20N,A320-271N,94.91,479.83,384.92,80.2,876,79.3
SAS2114,A20N,A320-271N,94.75,527.94,433.19,82.1,875,79.3
SAS1408,A20N,A320-271N,90.72,586.95,496.23,84.5,841,79.3
TAP782,A320,A320-232,108.74,783.15,674.41,86.1,821,79.3
FRO684,SB20,ATR72-200,785.02,0.0,-785.02,0.0,2441,79.2
THY8WZ,B739,B739ERW26,154.85,518.61,363.76,70.1,1199,79.2
SERMT,GLEX,B738W26,115.78,891.47,775.7,87.0,820,79.3
