callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS31A,657.47,92.33,565.14,86.0,852,77.1
BLX983P,426.96,102.39,324.57,76.0,679,58.8
SAS884,351.12,77.51,273.61,77.9,688,58.7
JON53,380.17,111.56,268.61,70.7,740,58.7
NSZ2616,488.37,90.17,398.2,81.5,590,52.5
SAS739,479.64,68.85,410.79,85.6,539,52.5
SAS80D,479.83,94.91,384.92,80.2,876,79.3
SAS2114,527.94,94.75,433.19,82.1,875,79.3
SAS1408,586.95,90.72,496.23,84.5,841,79.3
TAP782,783.15,108.74,674.41,86.1,821,79.3
FRO684,0.0,785.02,-785.02,0.0,2441,79.2
THY8WZ,518.61,154.85,363.76,70.1,1199,79.2
SERMT,891.47,115.78,775.7,87.0,820,79.3
