callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS864,4caf7e,A20N,A320-271N,100.08,621.0,58.8,130.0,621
NSZ8KC,4ab824,B738,B738W26,144.84,614.0,58.9,124.0,614
KLM59U,484cb7,B737,B737W24,114.49,627.0,58.8,124.0,627
NSZ8GH,4aca4a,B738,B738W26,181.02,876.0,77.1,156.0,876
