callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS025,A20N,A320-271N,80.33,831.53,751.2,90.3,738,77.1
SAS073,CRJ9,EMB-190LR,85.64,785.34,699.7,89.1,707,77.1
SAS864,A20N,A320-271N,68.54,319.02,250.48,78.5,607,58.8
SAS51N,A20N,A320-271N,71.44,220.54,149.1,67.6,631,58.8
FIN3EJ,A321,A321-131,95.23,423.41,328.18,77.5,588,52.5
THY4CK,A21N,A321-131,125.42,416.35,290.93,69.9,766,52.5
CTN486,B738,B738W26,97.74,434.21,336.47,77.5,640,57.1
SAS2182,CRJ9,EMB-190LR,74.22,473.37,399.15,84.3,582,57.2
SAS58E,A20N,A320-271N,68.31,478.74,410.43,85.7,602,57.1
OKPRF,E550,B738W26,91.0,752.22,661.22,87.9,598,57.2
