callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
BLX9234,4ac9c6,B38M,B738W26,210.63,958.0,63.6,107.0,830
SAS62F,4ac9ef,A20N,A320-271N,113.83,703.0,44.9,66.0,552
SAS414,4cadda,B738,B738W26,197.28,816.0,66.1,123.0,815
TVF73RQ,39de4e,A20N,A320-271N,203.77,1055.0,71.9,112.0,903
NSZ60X,4aca50,B738,B738W26,215.36,919.0,59.6,84.0,776
SAS1558,4cad89,A20N,A320-271N,45.16,176.0,17.4,188.0,176
KLM23A,4867c2,A21N,A321-131,256.36,894.0,63.0,94.0,807
EWG4BW,4d2411,A319,A319-131,144.98,671.0,40.1,81.0,523
SAS86L,4acaa2,A20N,A320-271N,189.3,965.0,62.0,98.0,823
BAW778F,4081bb,A21N,A321-131,252.68,893.0,57.6,73.0,744
NSZ4528,4aca88,B38M,B738W26,163.02,629.0,50.6,122.0,628
AFR1462,39bdb4,B738,B738W26,94.14,340.0,31.4,164.0,340
SAS1804,4ac9e3,A20N,A320-271N,14.64,62.0,6.2,224.0,62
