callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
KLM23V,486803,E,66,59.77116394042969,17.9439697265625,1668.78,147.73144235977745,76.30249452508811,-7.477760000000001,35.791367062597296,1768462620.0
ASL67H,4c01e3,S,160,58.80483336367849,17.903961181640625,4335.780000000001,167.58324213961527,11.689369175439193,-7.477760000000001,0.36814258135281347,1768464158.0
NYX801,51113c,S,160,58.80441439353813,18.185760498046875,2766.06,129.53471094595278,4.5557753287536125,-4.8768,8.479145563391539,1768464162.0
ELG3D,3cd3b7,S,160,58.804412841796875,17.44876984627016,4671.06,191.65231303724767,48.264283724018526,-11.704320000000001,14.445273082820322,1768464392.0
SAS46M,4ac9e4,S,160,58.8046006024894,17.305389404296875,5532.12,197.1394783801369,37.25864175030047,-11.704320000000001,18.904122354517018,1768463891.0
NSZ4102,4aca83,W,45,59.84706115722656,16.697296142578125,5547.360000000001,219.93488805797531,98.33858756520853,-13.329920000000001,0.09890933352827323,1768466058.7132638
SAS60P,4cac8e,W,45,59.84825522212659,16.699502879175647,5173.9800000000005,191.30746830844922,99.28501487986328,-9.7536,0.11395305595364445,1768465361.2238421
SAS51N,4cacb4,W,45,59.73866271972656,16.69757080078125,5577.84,196.4859577182865,59.47360733544721,-10.72896,6.469120928928796,1768465940.7313824
RYR10DW,4cad29,W,45,59.73445129394531,16.699310302734375,5532.12,199.31568304319615,58.402185913874035,-10.07872,6.721517988161226,1768464377.3603377
