callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS005,A20N,A320-271N,112.44,847.86,735.42,86.7,1076,105.1
SAS57J,A20N,A320-271N,109.49,823.83,714.34,86.7,1050,105.0
NSZ2ES,B738,B738W26,97.47,435.9,338.43,77.6,645,58.7
RYR691N,B38M,B738W26,97.65,402.63,304.98,75.7,646,58.7
ICE306,B38M,B738W26,96.09,457.6,361.51,79.0,637,58.7
FIN3EJ,A320,A320-232,95.05,362.67,267.62,73.8,650,52.5
DLH4UT,A320,A320-232,101.16,431.73,330.57,76.6,683,52.5
RYR552M,B738,B738W26,113.61,826.01,712.4,86.2,798,79.1
RYR71TM,B38M,B738W26,110.75,826.4,715.65,86.6,782,79.2
AFR73HX,A320,A320-232,102.35,973.4,871.05,89.5,760,79.1
EWG15G,A320,A320-232,107.25,786.02,678.77,86.4,804,79.1
SWR5ZM,BCS3,A319-131,117.95,755.4,637.45,84.4,815,79.1
OKELD,E55P,EMB-505,36.43,317.9,281.47,88.5,702,79.2
