callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS005,847.86,112.44,735.42,86.7,1076,105.1
SAS57J,823.83,109.49,714.34,86.7,1050,105.0
NSZ2ES,435.9,97.47,338.43,77.6,645,58.7
RYR691N,402.63,97.65,304.98,75.7,646,58.7
ICE306,457.6,96.09,361.51,79.0,637,58.7
FIN3EJ,362.67,95.05,267.62,73.8,650,52.5
DLH4UT,431.73,101.16,330.57,76.6,683,52.5
RYR552M,826.01,113.61,712.4,86.2,798,79.1
RYR71TM,826.4,110.75,715.65,86.6,782,79.2
AFR73HX,973.4,102.35,871.05,89.5,760,79.1
EWG15G,786.02,107.25,678.77,86.4,804,79.1
SWR5ZM,755.4,117.95,637.45,84.4,815,79.1
OKELD,317.9,36.43,281.47,88.5,702,79.2
