callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
NSZ8GH,1034.1,112.67,921.43,89.1,797,77.0
SAS005,661.0,92.36,568.64,86.0,852,77.1
SAS053,0.0,6.057582250570575e+119,-6.057582250570575e+119,0.0,4373,77.0
SAS063,750.96,86.11,664.85,88.5,800,77.1
EJM721,577.58,98.22,479.36,83.0,660,58.7
KLM59U,545.3,92.66,452.64,83.0,629,58.7
SAS59Z,491.98,76.03,415.96,84.5,680,58.7
SAS749,0.0,6.057582250570575e+119,-6.057582250570575e+119,0.0,2850,56.4
THY5MJ,382.46,144.29,238.17,62.3,899,56.4
SAS404,504.21,77.42,426.79,84.6,711,68.2
