callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ8GH,B38M,B738W26,112.67,1034.1,921.43,89.1,797,77.0
SAS005,A20N,A320-271N,92.36,661.0,568.64,86.0,852,77.1
SAS053,AT76,ATR72-600,6.057582250570575e+119,0.0,-6.057582250570575e+119,0.0,4373,77.0
SAS063,A20N,A320-271N,86.11,750.96,664.85,88.5,800,77.1
EJM721,F2TH,B738W26,98.22,577.58,479.36,83.0,660,58.7
KLM59U,B738,B738W26,92.66,545.3,452.64,83.0,629,58.7
SAS59Z,A20N,A320-271N,76.03,491.98,415.96,84.5,680,58.7
SAS749,AT76,ATR72-600,6.057582250570575e+119,0.0,-6.057582250570575e+119,0.0,2850,56.4
THY5MJ,A21N,A321-131,144.29,382.46,238.17,62.3,899,56.4
SAS404,A20N,A320-271N,77.42,504.21,426.79,84.6,711,68.2
