callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
FNF238,1098.43,123.88,974.55,88.7,924,94.4
NSZ3LW,995.43,129.12,866.31,87.0,956,94.4
SAS025,629.78,109.02,520.76,82.7,1034,94.4
SAS83L,714.01,145.34,568.67,79.6,1061,94.4
NOZ804,590.27,119.15,471.12,79.8,819,71.4
NOZ802,639.1,119.31,519.79,81.3,821,71.4
DAL204,1304.23,169.0,1135.23,87.0,792,71.4
NSZ6RD,235.27,98.67,136.6,58.1,644,52.5
FIN50A,416.86,94.38,322.48,77.4,621,52.5
BTI1M1,530.52,91.29,439.23,82.8,606,52.5
RYR5W,689.32,114.25,575.07,83.4,802,75.2
VKG4984,718.39,111.92,606.47,84.4,788,75.2
NSZ3194,775.56,110.15,665.41,85.8,778,75.3
SAS44D,545.9,85.35,460.55,84.4,790,75.2
