callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
FNF238,LJ35,B738W26,123.88,1098.43,974.55,88.7,924,94.4
NSZ3LW,B738,B738W26,129.12,995.43,866.31,87.0,956,94.4
SAS025,A20N,A320-271N,109.02,629.78,520.76,82.7,1034,94.4
SAS83L,B738,B738W26,145.34,714.01,568.67,79.6,1061,94.4
NOZ804,B738,B738W26,119.15,590.27,471.12,79.8,819,71.4
NOZ802,B738,B738W26,119.31,639.1,519.79,81.3,821,71.4
DAL204,B763,B763ERGE61,169.0,1304.23,1135.23,87.0,792,71.4
NSZ6RD,B38M,B738W26,98.67,235.27,136.6,58.1,644,52.5
FIN50A,A319,A319-131,94.38,416.86,322.48,77.4,621,52.5
BTI1M1,BCS3,A319-131,91.29,530.52,439.23,82.8,606,52.5
RYR5W,B738,B738W26,114.25,689.32,575.07,83.4,802,75.2
VKG4984,A339,B738W26,111.92,718.39,606.47,84.4,788,75.2
NSZ3194,B738,B738W26,110.15,775.56,665.41,85.8,778,75.3
SAS44D,A20N,A320-271N,85.35,545.9,460.55,84.4,790,75.2
