callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS2003,A20N,A320-271N,77.2,568.97,491.77,86.4,704,77.1
SAS2031,A20N,A320-271N,81.71,476.91,395.2,82.9,739,77.0
SAS071,A20N,A320-271N,80.16,495.63,415.47,83.8,727,77.2
NSZ46M,B738,B738W26,102.21,698.47,596.26,85.4,705,77.1
NSZ4114,B38M,B738W26,103.87,545.43,441.56,81.0,721,79.4
ETH715,B788,B788RR70,149.19,996.34,847.15,85.0,766,79.5
SAS886,A20N,A320-271N,83.95,418.51,334.56,79.9,762,79.4
SAS1498,B738,B738W26,123.43,306.91,183.48,59.8,839,79.5
NSZ2047,B738,B738W26,115.34,435.48,320.14,73.5,787,79.4
FIN5LA,E190,EMB-190STD,71.97,291.14,219.17,75.3,556,56.4
TAY8LL,B734,B73423,94.87,271.2,176.33,65.0,596,56.4
RYR8QX,B738,B738W26,112.55,447.0,334.45,74.8,767,79.2
