BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
LJ35__;LJ35;;;
LJ45__;LJ40;;;
LJ45__;LJ45;;;
LJ60__;LJ55;;;
LJ60__;LJ60;;;
LJ75__;LJ70;;;
LJ75__;LJ75;;;
FA50__;LJ85;;;
SF25__;LK17;;;
MAGC__;LMC1;;;
E300__;LMK1;;;
RV14__;LN27;;;
C152__;LN3;;;
RV8U__;LNC2;;;
TBM7__;LNC4;;;
SR22__;LNCE;;;
TBM7__;LNP4;;;
TBM7__;LNT4;;;
SF25__;LS10;;;
SF25__;LS8;;;
F16U__;LTNG;;;
MAGC__;LW20;;;
P28A__;LW40;;;
SVNH__;LWIN;;;
C162__;LXR;;;
BE99__;LYNX;;;
MAGC__;M10;;;
K100__;M101;;;
SVNH__;M106;;;
MAGC__;M108;;;
C172__;M10F;;;
C82S__;M10R;;;
RV8U__;M110;;;
DHC6__;M15;;;
U2UU__;M17;;;
T206__;M18;;;
DHC6__;M18T;;;
C162__;M2;;;
BE36__;M200;;;
PA46__;M203;;;
M20P__;M20P;;;
M20T__;M20T;;;
DV20__;M21;;;
P28U__;M212;;;
PA34__;M22;;;
C172__;M24;;;
TB20__;M26;;;
JS32__;M28;;;
L39U__;M326;;;
L39U__;M339;;;
AJET__;M345;;;
HAWK__;M346;;;
P28U__;M360;;;
BE58__;M36J;;;
DR40__;M4;;;
P38U__;M404;;;
RV14__;M5;;;
U2UU__;M55;;;
DR40__;M6;;;
TBM7__;M600;;;
TB20__;M7;;;
TBM7__;M700;;;
E500__;M7T;;;
P28U__;M8;;;
MAGC__;MA5;;;
F27U__;MA60;;;
F27U__;MA6H;;;
MAGC__;MAGC;;;
DR40__;MAGN;;;
M20T__;MAKO;;;
S2PU__;MARS;;;
RV8U__;MAVR;;;
MAGC__;MC01;;;
EV97__;MC10;;;
A20N__;MC23;;;
DR40__;MC45;;;
EV97__;MC90;;;
RV8U__;MCR1;;;
C162__;MCR4;;;
MD11__;MD11;;;
C172__;MD3;;;
C162__;MD3R;;;
E500__;MD52;;;
MD82__;MD81;;;
MD82__;MD82;;;
MD83__;MD83;;;
MD82__;MD87;;;
MD82__;MD88;;;
MD83__;MD90;;;
TB20__;ME08;;;
P180__;ME09;;;
L39U__;ME62;;;
TB21__;MERK;;;
DA40__;MESS;;;
HAWK__;METR;;;
P06T__;MF17;;;
L39U__;MG15;;;
L39U__;MG17;;;
AJET__;MG19;;;
F16U__;MG21;;;
F16U__;MG23;;;
F15U__;MG25;;;
F16U__;MG29;;;
F15U__;MG31;;;
F15U__;MG44;;;
L39U__;MGAT;;;
C162__;MGNM;;;
RV8U__;MGUL;;;
C510__;MH02;;;
JS41__;MI14;;;
BE99__;MI2;;;
JS41__;MI24;;;
JS41__;MI26;;;
JS41__;MI28;;;
JS41__;MI8;;;
SF50__;MICO;;;
RV8U__;MIMU;;;
F16U__;MIR2;;;
F15U__;MIR4;;;
F16U__;MIRA;;;
DR40__;MITE;;;
DR40__;MJ10;;;
DR40__;MJ5;;;
E300__;MJ51;;;
PA46__;MOL1;;;
RV14__;MON2;;;
RV14__;MOR2;;;
P38U__;MOSQ;;;
EV97__;MP02;;;
EV97__;MP20;;;
C206__;MR25;;;
C206__;MR35;;;
E500__;MR3T;;;
F16U__;MRF1;;;
A148__;MRJ7;;;
A148__;MRJ9;;;
C150__;MRMD;;;
DA40__;MS18;;;
EV97__;MS23;;;
TB21__;MS25;;;
DR40__;MS30;;;
EA50__;MS76;;;
DV20__;MSQ2;;;
AJET__;MT2;;;
MU2U__;MU2;;;
DIMO__;MU23;;;
BE40__;MU30;;;
RV8U__;MUS2;;;
SVNH__;MX10;;;
MAGC__;MX1T;;;
E300__;MX2;;;
MAGC__;MX58;;;
C162__;MX65;;;
MAGC__;MX80;;;
E300__;MXS;;;
IL86__;MYA4;;;
AJET__;MYS4;;;
JS32__;N219;;;
AN30__;N250;;;
JS41__;N260;;;
JS41__;N262;;;
SVNH__;N3;;;
C152__;N320;;;
S22T__;NARN;;;
DA40__;NAVI;;;
P46T__;ND1T;;;
P750__;NFEX;;;
C162__;NG4;;;
C162__;NG5;;;
JS41__;NH90;;;
B738__;NIM;;;
DIMO__;NIMB;;;
SVNH__;NIPR;;;
M20P__;NM5;;;
MAGC__;NNJA;;;
BE99__;NOMA;;;
F27U__;NORA;;;
DA40__;NORS;;;
C188__;NST6;;;
DR40__;O1;;;
DR40__;OCNR;;;
P46T__;OMLA;;;
MAGC__;OMSD;;;
C162__;ONE;;;
EV97__;ONEX;;;
DV20__;OR12;;;
C182__;OSCR;;;
P06T__;P06T;;;
B38M__;P1;;;
MAGC__;P100;;;
C414__;P136;;;
P28U__;P148;;;
C82S__;P149;;;
P180__;P180;;;
E500__;P18T;;;
P1HH__;P1HH;;;
F27U__;P2;;;
C162__;P208;;;
PA46__;P210;;;
C310__;P212;;;
P28A__;P28A;;;
C182__;P28B;;;
P28R__;P28R;;;
P28U__;P28S;;;
P28T__;P28T;;;
P28U__;P28U;;;
AN12__;P3;;;
TB20__;P32R;;;
TB20__;P32T;;;
BE76__;P337;;;
P38U__;P38;;;
PAY3__;P39;;;
BE9L__;P40;;;
C208__;P46T;;;
P38U__;P47;;;
S2PU__;P4Y;;;
EV97__;P50;;;
P180__;P51;;;
MAGC__;P60;;;
P38U__;P61;;;
HDJT__;P63;;;
C414__;P66P;;;
C208__;P66T;;;
BE76__;P68;;;
K100__;P68T;;;
SVNH__;P70;;;
P750__;P750;;;
B738__;P8;;;
SVNH__;P80;;;
BE40__;P808;;;
P38U__;P82;;;
EV97__;PA11;;;
C150__;PA12;;;
DV20__;PA14;;;
SVNH__;PA15;;;
MAGC__;PA16;;;
SVNH__;PA17;;;
DR40__;PA18;;;
EV97__;PA20;;;
DR40__;PA22;;;
DA42__;PA23;;;
M20T__;PA24;;;
DV20__;PA25;;;
PA27__;PA27;;;
PA34__;PA30;;;
PA31__;PA31;;;
P28U__;PA32;;;
PA34__;PA34;;;
P28A__;PA36;;;
C150__;PA38;;;
PA44__;PA44;;;
PA46__;PA46;;;
C510__;PA47;;;
