callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS46C,A20N,A320-271N,96.38,519.14,422.76,81.4,886,77.1
NSZ44L,B38M,B738W26,119.2,870.73,751.53,86.3,837,77.1
SAS884,A20N,A320-271N,73.23,440.05,366.82,83.4,652,58.8
NSZ4110,B38M,B738W26,98.36,509.01,410.65,80.7,654,58.7
SAS41A,B738,B738W26,106.58,372.76,266.18,71.4,705,58.7
SAS532,A20N,A320-271N,82.89,284.53,201.64,70.9,735,58.7
AFR61QR,BCS3,A319-131,105.37,454.54,349.17,76.8,691,58.7
RYR82,B738,B738W26,108.32,158.22,49.9,31.5,706,52.4
SAS1130,AT76,ATR72-600,1.4856316683967312e+107,0.0,-1.4856316683967312e+107,0.0,2155,52.4
THY8WZ,A21N,A321-131,98.56,687.96,589.4,85.7,635,57.1
DLH2PM,A320,A320-232,88.54,830.42,741.88,89.3,635,57.2
TAP782,A321,A321-131,97.43,868.44,771.01,88.8,630,57.1
SAS89A,A20N,A320-271N,71.76,553.27,481.51,87.0,637,57.2
NSZ8MV,B738,B738W26,98.52,571.76,473.24,82.8,651,57.1
