callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS46C,519.14,96.38,422.76,81.4,886,77.1
NSZ44L,870.73,119.2,751.53,86.3,837,77.1
SAS884,440.05,73.23,366.82,83.4,652,58.8
NSZ4110,509.01,98.36,410.65,80.7,654,58.7
SAS41A,372.76,106.58,266.18,71.4,705,58.7
SAS532,284.53,82.89,201.64,70.9,735,58.7
AFR61QR,454.54,105.37,349.17,76.8,691,58.7
RYR82,158.22,108.32,49.9,31.5,706,52.4
SAS1130,0.0,1.4856316683967312e+107,-1.4856316683967312e+107,0.0,2155,52.4
THY8WZ,687.96,98.56,589.4,85.7,635,57.1
DLH2PM,830.42,88.54,741.88,89.3,635,57.2
TAP782,868.44,97.43,771.01,88.8,630,57.1
SAS89A,553.27,71.76,481.51,87.0,637,57.2
NSZ8MV,571.76,98.52,473.24,82.8,651,57.1
