callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS864,A20N,A320-271N,75.87,342.73,266.86,77.9,669,58.7
NSZ41G,B738,B738W26,104.41,366.12,261.71,71.5,686,58.7
RYR63XT,B738,B738W26,102.21,424.69,322.48,75.9,672,58.7
VLG1265,A320,A320-232,98.1,338.88,240.78,71.1,684,58.8
SAS51N,A20N,A320-271N,75.51,377.04,301.53,80.0,666,58.7
N166QS,GLEX,B738W26,109.62,441.52,331.9,75.2,722,58.7
EUW2302,B738,B738W26,95.22,598.54,503.32,84.1,630,58.7
SAS148,B738,B738W26,109.53,303.27,193.74,63.9,720,58.7
FIN3EJ,E190,EMB-190STD,78.31,597.1,518.79,86.9,631,65.1
THY4CK,B38M,B738W26,91.53,531.1,439.57,82.8,588,50.2
SAS1142,AT76,ATR72-600,393.83,0.0,-393.83,0.0,1719,50.2
AUA96F,BCS3,A319-131,90.63,658.69,568.06,86.2,581,50.3
SAS58E,A20N,A320-271N,69.72,339.65,269.93,79.5,605,50.3
LOT4AY,E195,EMB-195STD,70.89,583.44,512.55,87.9,529,50.3
DLH800,A320,A320-232,86.47,599.01,512.54,85.6,591,50.3
NSZ96Y,B738,B738W26,89.57,606.12,516.55,85.2,576,50.3
ASL96K,A319,A319-131,100.74,554.4,453.66,81.8,629,50.3
