callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS864,342.73,75.87,266.86,77.9,669,58.7
NSZ41G,366.12,104.41,261.71,71.5,686,58.7
RYR63XT,424.69,102.21,322.48,75.9,672,58.7
VLG1265,338.88,98.1,240.78,71.1,684,58.8
SAS51N,377.04,75.51,301.53,80.0,666,58.7
N166QS,441.52,109.62,331.9,75.2,722,58.7
EUW2302,598.54,95.22,503.32,84.1,630,58.7
SAS148,303.27,109.53,193.74,63.9,720,58.7
FIN3EJ,597.1,78.31,518.79,86.9,631,65.1
THY4CK,531.1,91.53,439.57,82.8,588,50.2
SAS1142,0.0,393.83,-393.83,0.0,1719,50.2
AUA96F,658.69,90.63,568.06,86.2,581,50.3
SAS58E,339.65,69.72,269.93,79.5,605,50.3
LOT4AY,583.44,70.89,512.55,87.9,529,50.3
DLH800,599.01,86.47,512.54,85.6,591,50.3
NSZ96Y,606.12,89.57,516.55,85.2,576,50.3
ASL96K,554.4,100.74,453.66,81.8,629,50.3
