callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
FIN3EJ,461e1d,E,66,59.66679459911281,19.127954943426722,4602.4800000000005,190.23023392074168,254.31000707091613,-11.3792,4.5097125842831325,1776670685.4776967
THY4CK,4bb072,S,160,58.80441439353813,17.88409423828125,4373.88,160.31927327617512,10.91330345753088,-5.20192,0.928117003630876,1776670704.0
SAS1142,4ab561,S,160,58.80441439353813,17.87255859375,4480.56,134.96191018315207,29.20309338402984,-4.8768,1.2804706714479486,1776668827.0
AUA96F,502d3e,S,160,58.80427551269531,17.87076888545867,4602.4800000000005,175.98797652830666,1.3400077808997086,-8.77824,1.3341906690737353,1776668450.0
SAS58E,4cad42,S,160,58.804595947265625,17.853403399067542,4777.740000000001,146.03868244938974,54.46232220802562,-9.7536,1.87216925219428,1776671565.0
LOT4AY,48ada6,S,160,58.80450439453125,17.823279596144154,4427.22,174.48830264823977,1.8585029996110967,-9.42848,2.804438438950545,1776670017.0
DLH800,3c66ae,S,160,58.805328369140625,17.66654722152218,3764.28,164.91842239021565,20.639719171801044,-9.42848,7.675234359215609,1776669548.0
NSZ96Y,4aca4f,S,160,58.804229736328125,17.604173229586696,4709.16,172.93278200609623,22.750976342787638,-10.72896,9.61275261653792,1776670508.0
ASL96K,4c01e3,S,160,59.00491488181938,17.76678677262931,2613.6600000000003,140.7321717093206,350.7442722554478,-4.8768,13.057899820388021,1776668220.0
SAS864,4cad86,W,45,59.84861755371094,16.700225830078125,4267.2,154.89207464898197,113.07365442838125,-9.7536,0.13316172725740152,1776671700.0270045
NSZ41G,4acb03,W,45,59.85551737122616,16.69836636247306,4251.96,147.60598800055914,101.66239693804688,-9.42848,0.5505079104663767,1776668822.720581
RYR63XT,4caf34,W,45,59.68406547934322,16.699976427801722,4046.2200000000003,155.25047147529995,50.24304644338338,-4.8768,9.74664374098245,1776671163.244033
VLG1265,3452c9,W,45,59.6840189271054,16.70026055697737,4998.72,151.71214355920486,45.96170932985876,-9.42848,9.749433922268839,1776671242.0189302
SAS51N,4cafce,W,45,59.648345947265625,16.698028564453125,3947.1600000000003,157.83457156330385,109.61613773624866,-10.40384,11.891454368001499,1776670946.9027526
N166QS,a10967,W,45,59.56233215332031,16.699859619140625,2461.26,137.97556874910822,132.73353991568393,-7.152640000000001,17.055568592196284,1776670665.269814
EUW2302,4ac9d4,W,45,59.49650573730469,16.699676513671875,4701.54,186.32888974393143,82.38444957905676,-10.07872,21.007819991000474,1776668856.2432191
SAS148,4ab5d5,W,45,59.46757507324219,16.699310302734375,4160.52,133.30454149554214,77.51915860824302,-5.20192,22.744841591317464,1776670036.7206755
