callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS060,4ab56e,N,9,60.283611750198624,18.022188459123885,4267.2,128.69019998991172,354.49452214202165,0.0,16.929192669970345
SAS62F,4ac9e6,N,9,61.11772155761719,18.04553440638951,10302.24,245.3903272488834,190.50897457767954,-11.05408,52.82219903840817
SAS026,4cad89,N,9,62.967115499205505,20.020681527944713,4693.92,160.2598340024821,19.307405945824044,-9.10336,166.43880881051695
UPS283,a53013,E,66,59.71195026979608,17.949008283943964,1684.02,143.99378538555032,250.5940292459988,16.256,34.21217712814669
SAS1145,4ab564,E,66,59.659672106726696,17.9461669921875,-129.54000000000002,52.030104203548774,75.68895873739359,0.32512,34.71153000917601
SAS22Y,4acb59,E,66,59.65965270996094,17.945892333984375,-114.30000000000001,48.78545986070079,75.96375653207353,0.32512,34.71993486729639
SAS171,4cadda,E,66,59.65965270996094,17.945709228515625,-114.30000000000001,45.54209760802451,76.27770286686646,0.65024,34.72540131707094
SAS2062,4ac9e9,E,66,59.65957900225106,17.945219894935345,-114.30000000000001,44.67080504854866,75.32360686254998,0.65024,34.74078970163856
DFL5980,4aab15,S,160,59.34902902376854,18.031974003232758,-76.2,200.0,0.0,1.30048,32.4358806667441
RYR916R,4cadbf,S,160,58.32243347167969,16.95217009513609,9052.560000000001,261.9373858453734,188.92582590689526,6.502400000000001,41.12180452669167
ETH715,040124,S,160,57.9021389201536,19.0418701171875,9296.4,273.5512131860776,175.3616339042963,4.55168,66.23583228931905
BTI2HU,502d7d,S,160,57.929511635990465,20.721588134765625,9669.78,206.631093155195,301.3551818994412,6.827520000000001,104.5380348359921
WZZ301,4d2490,S,160,56.52406311035156,17.48116233132102,11277.6,257.1710650009358,191.42232106960228,0.0,138.14204191165206
SAS86L,4cae75,W,45,59.32484436035156,17.006195068359375,3192.78,155.032118673016,58.1558426189651,-11.704320000000001,33.970519270582784
NSZ60X,4aca50,W,45,58.90718078613281,15.3621826171875,8747.76,198.12773964439506,66.43025211052475,-7.80288,69.51208536774398
SAS897,45ac33,W,45,59.960906982421875,13.402183795797415,8526.78,234.21161317551483,274.28287846524614,-1.30048,97.94445621340726
SAS169,4cad42,W,45,58.05647277832031,12.827955676663306,2270.76,160.2573568876503,222.13759477388825,-6.827520000000001,160.40881016871458
