callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SWE33A,262.08,44.59,217.48,83.0,903,89.7
ICE306,593.39,104.91,488.48,82.3,673,58.7
SAS486,366.71,89.08,277.63,75.7,707,58.8
KLM91Y,658.49,88.25,570.24,86.6,671,58.8
RYR3EQ,381.49,136.15,245.34,64.3,925,58.7
ABF2,562.78,103.72,459.06,81.6,704,65.0
NSZ4336,431.8,92.84,338.96,78.5,601,50.3
SAS1916,488.21,66.58,421.63,86.4,581,50.3
SAS080,0.0,1.0803397973783153e+78,-1.0803397973783153e+78,0.0,2076,50.2
SAS88K,492.77,91.06,401.71,81.5,590,50.2
SAS42E,457.2,66.45,390.75,85.5,580,50.3
NJE485G,453.0,96.33,356.67,78.7,623,50.3
