callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS84B,4cad95,N,9,60.60714980303231,18.571014404296875,5173.9800000000005,172.58426969486857,195.03043052343327,-11.05408,19.816099658081868
NSZ2030,4acb02,E,66,59.730194091796875,18.77984619140625,2880.36,169.15118988984744,306.5910882673993,-1.95072,10.755116847156634
NSZ2621,4aca85,E,66,59.69554138183594,18.262939453125,1737.3600000000001,133.392859131701,10.443194063496943,-5.20192,26.543388229497072
BLX248,406d6f,E,66,59.57331770557468,18.21845745218211,2613.6600000000003,141.8616058867223,10.65794605649586,-5.52704,29.791128898144525
SAS76H,4cac8e,E,66,59.764801025390625,17.959442138671875,556.26,96.33436091698007,188.90900001194163,-5.20192,35.442765486690895
SAS2131,4ab561,E,66,59.624338958222985,17.9858503670528,579.12,91.90279650938976,229.08561677997488,5.20192,35.60888881787995
SAS1712,4cafce,S,160,58.68690490722656,18.269820674773186,11879.58,228.4502100362773,45.36493633573065,-0.32512,13.392937514182485
PVD439B,3cf3a9,S,160,58.68193545583951,17.40655517578125,8747.76,181.1025556865373,203.43367072180962,10.07872,17.85460411627054
LGL81AR,4d00da,S,160,58.632636635990465,17.093994140625,6911.34,161.35181571140313,35.91992713597329,-5.52704,27.95223914292135
SAS53C,4ac9fa,S,160,59.07737731933594,17.02642822265625,8031.4800000000005,216.17975047626587,221.23723097649903,9.10336,31.78857297805404
SWR2YB,502cc8,S,160,58.86543273925781,16.86639404296875,7117.08,201.7512685489655,213.77110817846128,6.827520000000001,32.82439755623322
NOZ9HZ,47a50d,W,45,59.94227600097656,16.1495361328125,12192.0,233.3177945311314,272.78039194434973,-0.32512,17.44225342256992
SCQ37P,4ab34d,W,45,59.511199951171875,16.600799560546875,312.42,43.99022646273183,10.7842978675626,-1.95072,21.241375959151963
SWC900,4aab49,W,45,59.367279052734375,16.705169677734375,220.98000000000002,48.636048351172285,336.96056402009646,6.1772800000000005,29.643235754109632
461e17,461e17,W,45,59.438176559189614,17.336709910425647,11887.2,230.99452185823134,67.89055165624833,0.0,31.795040936766608
NSZ2003,4aca53,W,45,59.62378033136917,15.421300427667026,12496.800000000001,235.65016987282303,119.4190761517484,0.0,41.38503174368885
