callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS019,A20N,A320-271N,79.16,390.21,311.05,79.7,716,77.2
SAS1488,CRJ9,EMB-190LR,72.39,314.28,241.89,77.0,559,58.7
SAS528,A20N,A320-271N,70.14,260.38,190.24,73.1,609,58.8
NSZ4270,B38M,B738W26,95.58,340.89,245.31,72.0,617,58.8
VKG1729,A21N,A321-131,99.18,335.99,236.81,70.5,615,58.8
BLX166,B38M,B738W26,92.46,313.96,221.5,70.6,598,58.8
SAS739,B738,B738W26,89.02,168.33,79.31,47.1,566,52.5
RYR4HR,B738,B738W26,97.48,258.93,161.45,62.4,626,57.2
EWG6RY,B738,B738W26,96.84,324.58,227.74,70.2,622,57.2
NJE440D,B738,B738W26,94.25,424.61,330.36,77.8,606,57.2
