callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
SAS019,47ba0d,N,9,60.26582879535222,18.515003749302455,4632.96,182.63414100470544,192.19620533133886,-21.45792,3.749817781940567,1775589259.8514855
SAS739,4caf13,E,66,59.29161071777344,19.12664794921875,6035.04,174.17253591580717,297.2462106507181,-12.029440000000001,27.035579506254237,1775590693.1854348
RYR4HR,4d2273,S,160,58.80474025920286,17.87933349609375,4899.66,149.92931788320934,3.1471146040936024,-4.8768,1.0769227404208228,1775591177.0
EWG6RY,4d2081,S,160,58.80500793457031,17.844454857610888,4899.66,152.84528625941374,14.223331062639637,-5.20192,2.1514658486719322,1775590757.0
NJE440D,490d0f,S,160,58.80492646815413,17.59332275390625,3848.1000000000004,165.82741459232872,38.57652956344344,-8.45312,9.950940968287673,1775589027.0
SAS1488,4cacb0,W,45,59.830902099609375,16.6988525390625,4091.94,175.45783662069945,132.86131742233368,-9.7536,0.9315249744709999,1775590476.568851
SAS528,4cac8e,W,45,59.39543151855469,16.70013427734375,4236.72,165.22704774308275,66.70771246519375,-10.40384,27.07635425443982,1775588990.0640168
NSZ4270,4aca86,W,45,59.39387512207031,16.698211669921875,3710.94,165.09485038028143,75.0110800516133,-8.77824,27.169874535481366,1775590439.7603378
VKG1729,45d961,W,45,59.307876845537606,16.698650491648706,4335.780000000001,160.75037389953107,54.377060694304355,-17.55648,32.333215270484,1775591446.7147658
BLX166,4ac9c5,W,45,59.222808837890625,16.698394775390625,4701.54,181.69780466909975,74.90138787929132,-12.029440000000001,37.44074336572765,1775590088.677322
