callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS019,390.21,79.16,311.05,79.7,716,77.2
SAS1488,314.28,72.39,241.89,77.0,559,58.7
SAS528,260.38,70.14,190.24,73.1,609,58.8
NSZ4270,340.89,95.58,245.31,72.0,617,58.8
VKG1729,335.99,99.18,236.81,70.5,615,58.8
BLX166,313.96,92.46,221.5,70.6,598,58.8
SAS739,168.33,89.02,79.31,47.1,566,52.5
RYR4HR,258.93,97.48,161.45,62.4,626,57.2
EWG6RY,324.58,96.84,227.74,70.2,622,57.2
NJE440D,424.61,94.25,330.36,77.8,606,57.2
