callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ38K,B38M,B738W26,100.56,1583.63,1483.07,93.6,696,77.1
SAS81C,CRJ9,EMB-190LR,80.29,1090.1,1009.81,92.6,656,77.2
SAS005,A20N,A320-271N,77.95,904.39,826.44,91.4,706,77.1
SAS2023,A20N,A320-271N,77.23,1054.33,977.1,92.7,701,77.1
NSZ8GH,B738,B738W26,107.78,886.97,779.19,87.8,730,77.2
KLM59U,B738,B738W26,102.03,931.25,829.22,89.0,686,71.4
SAS2472,E195,EMB-195STD,80.08,753.46,673.38,89.4,624,71.4
SAS80A,A20N,A320-271N,79.68,483.26,403.58,83.5,709,71.4
RYR6TR,A320,A320-232,113.77,563.4,449.63,79.8,786,71.4
SAS705,AT76,ATR72-600,514.48,0.0,-514.48,0.0,1725,52.4
TKJ7FK,B38M,B738W26,90.82,550.46,459.64,83.5,573,50.3
NSZ3806,B38M,B738W26,93.0,409.57,316.57,77.3,587,50.3
DLH9WF,A321,A321-131,93.99,609.69,515.7,84.6,566,50.2
SAS1136,AT76,ATR72-600,213.9,0.0,-213.9,0.0,1686,50.2
SAS192,AT76,ATR72-600,213.9,0.0,-213.9,0.0,1686,50.2
SAS404,B738,B738W26,88.58,673.31,584.73,86.8,559,50.3
SAS2182,CRJ9,EMB-190LR,67.33,660.48,593.15,89.8,508,50.3
NSZ3DA,B738,B738W26,86.39,927.83,841.44,90.7,546,50.3
NSZ3LZ,B738,B738W26,90.52,542.41,451.89,83.3,571,50.2
SAS106,A20N,A320-271N,68.09,382.91,314.82,82.2,583,50.3
