callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
NSZ38K,1583.63,100.56,1483.07,93.6,696,77.1
SAS81C,1090.1,80.29,1009.81,92.6,656,77.2
SAS005,904.39,77.95,826.44,91.4,706,77.1
SAS2023,1054.33,77.23,977.1,92.7,701,77.1
NSZ8GH,886.97,107.78,779.19,87.8,730,77.2
KLM59U,931.25,102.03,829.22,89.0,686,71.4
SAS2472,753.46,80.08,673.38,89.4,624,71.4
SAS80A,483.26,79.68,403.58,83.5,709,71.4
RYR6TR,563.4,113.77,449.63,79.8,786,71.4
SAS705,0.0,514.48,-514.48,0.0,1725,52.4
TKJ7FK,550.46,90.82,459.64,83.5,573,50.3
NSZ3806,409.57,93.0,316.57,77.3,587,50.3
DLH9WF,609.69,93.99,515.7,84.6,566,50.2
SAS1136,0.0,213.9,-213.9,0.0,1686,50.2
SAS192,0.0,213.9,-213.9,0.0,1686,50.2
SAS404,673.31,88.58,584.73,86.8,559,50.3
SAS2182,660.48,67.33,593.15,89.8,508,50.3
NSZ3DA,927.83,86.39,841.44,90.7,546,50.3
NSZ3LZ,542.41,90.52,451.89,83.3,571,50.2
SAS106,382.91,68.09,314.82,82.2,583,50.3
