callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS051,4ab56b,N,9,60.4312,18.3291,5265.42,194.22,168.54,-8.13,11.979714949895552
SAS1017,4a91f9,N,9,60.6496,18.5852,6804.66,218.48,194.59,-8.78,22.227617463883732
FIN927,461e21,E,66,59.939,19.5083,12192.0,230.84,258.69,0.33,17.020403415842456
FIN7WG,461f5a,E,66,59.3817,18.5226,13106.4,253.33,246.04,0.0,28.111238442448467
SAS711,4ca1cc,E,66,59.5158,18.1749,1546.86,133.41,252.26,-3.25,30.939691826140788
SEMNX,4ab5d8,E,66,59.4659,18.2302,891.54,64.95,356.37,-3.9,31.062762580176106
CAO3061,780005,E,66,59.6233,17.9082,53.34,67.41,10.11,-3.9,36.28320294368858
SAS2132,4ab56f,S,160,58.7654,17.7578,4861.56,136.13,52.52,-6.83,4.461994966464892
RYR77PM,4ca801,S,160,58.931,17.9809,3970.02,151.62,26.83,-10.08,7.822068457753859
SAS082,4ab561,S,160,58.5504,17.9478,3962.4,122.28,11.4,0.0,16.151967801072665
SAS2065,4ac9e5,W,45,59.8867,16.9445,3413.76,183.55,160.35,-8.78,8.99680465262151
BEL4BP,44ce62,W,45,59.5202,16.3273,6431.28,190.75,47.19,-5.2,22.69272635563498
SCQ7Y,478dd3,W,45,59.6247,15.8179,1005.84,64.44,160.41,-1.95,28.90989831450693
NSZ6LA,4aca86,W,45,59.4986,15.8954,7239.0,187.39,58.93,-10.08,31.58305100991552
SETTB,4ad282,W,45,59.7504,15.6053,1600.2,55.45,152.96,-0.33,32.24837873080741
