callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
RYR3CR,48c221,B738,B738W26,73.79,276.0,23.8,102.0,276
FIN50A,461f9b,A321,A321-131,306.57,1095.0,71.2,89.0,958
NSZ6RD,4aca87,B38M,B738W26,230.19,924.0,62.6,89.0,789
SAS44D,4ac9ea,A20N,A320-271N,122.01,806.0,47.0,77.0,665
NOZ804,47945c,B738,B738W26,257.48,1048.0,63.0,78.0,905
SAS025,4cad40,A20N,A320-271N,354.42,1279.0,87.1,86.0,1133
SAS150,4caf82,A20N,A320-271N,154.31,893.0,52.1,81.0,736
NOZ803,47921c,B738,B738W26,328.29,3600.0,37.4,52.0,627
SCQ1P,4ab592,DA42,B738W26,2032.08,3600.0,99.7,26.0,2839
SAS83L,47bb0a,A20N,A320-271N,283.89,1202.0,79.6,89.0,1058
NSZ3LW,4aca84,B38M,B738W26,356.88,1113.0,74.3,79.0,971
NSZ3194,4aca06,B738,B738W26,221.84,1489.0,52.4,87.0,669
KLM23V,484133,B738,B738W26,13.53,59.0,6.0,156.0,59
RYR85ZR,4cade3,B38M,B738W26,191.91,753.0,48.3,72.0,701
DAL204,a12fda,B763,B763ERGE61,567.49,1130.0,72.1,70.0,993
RYR5W,4caa59,B738,B738W26,200.34,858.0,51.9,79.0,726
QTR4F,06a0c2,B788,B788RR70,319.18,868.0,47.7,74.0,728
ANA221,86cf16,B788,B788RR70,436.72,925.0,52.7,62.0,782
BTI1M1,502d3e,BCS3,A319-131,164.11,786.0,45.8,75.0,644
NSZ2030,4acb03,B738,B738W26,254.41,1034.0,67.6,89.0,900
TAY1KU,440d91,B738,B738W26,564.89,1015.0,113.4,329.0,1015
