callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS51N,994.35,99.79,894.56,90.0,959,92.1
VLG1265,1172.56,124.73,1047.83,89.4,971,92.1
NSZ41G,975.92,150.94,824.98,84.5,1119,92.1
BAW770,1631.52,131.91,1499.61,91.9,917,92.1
RYR6TR,1281.16,123.02,1158.14,90.4,958,92.1
FIN3EJ,813.85,101.28,712.57,87.6,864,81.8
CTN486,1145.05,135.11,1009.94,88.2,969,98.3
LOT4AY,1132.53,101.14,1031.39,91.1,898,98.3
RYR63XT,1436.98,116.84,1320.14,91.9,912,98.3
NSZ96Y,1559.18,116.73,1442.45,92.5,912,98.4
