callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS51N,A20N,A320-271N,99.79,994.35,894.56,90.0,959,92.1
VLG1265,A320,A320-232,124.73,1172.56,1047.83,89.4,971,92.1
NSZ41G,B38M,B738W26,150.94,975.92,824.98,84.5,1119,92.1
BAW770,A21N,A321-131,131.91,1631.52,1499.61,91.9,917,92.1
RYR6TR,A320,A320-232,123.02,1281.16,1158.14,90.4,958,92.1
FIN3EJ,E190,EMB-190STD,101.28,813.85,712.57,87.6,864,81.8
CTN486,BCS3,A319-131,135.11,1145.05,1009.94,88.2,969,98.3
LOT4AY,E190,EMB-190STD,101.14,1132.53,1031.39,91.1,898,98.3
RYR63XT,B38M,B738W26,116.84,1436.98,1320.14,91.9,912,98.3
NSZ96Y,B738,B738W26,116.73,1559.18,1442.45,92.5,912,98.4
